Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2018-Dec-10 12:20:00.0000 UTC,236.41831137864042,213.23771234885166,346.88269550326817,245.13800392715723,279.34650685507546,26.821524610003923,345.1768329316951,221.54755437698145,353.70416666666665
A.D. 2018-Dec-11 12:20:00.0000 UTC,237.02042077356757,213.95864805317987,347.47975366130566,245.37145816449166,279.46921669910154,26.800484566619858,345.18526348757223,221.9476440545482,353.7083333333333
A.D. 2018-Dec-12 12:20:00.0000 UTC,237.73402881757818,214.69577886640866,348.0774052812414,245.60469414246867,279.5923637974726,26.780143619182642,345.19422544357667,222.34703804871344,353.71250000000003
A.D. 2018-Dec-13 12:20:00.0000 UTC,238.54750510669226,215.44860531837753,348.6756272701911,245.83768501647265,279.71592586275835,26.760510424963616,345.20371657365223,222.74571199996106,353.71666666666664
A.D. 2018-Dec-14 12:20:00.0000 UTC,239.4502054255062,216.21665744067073,349.274397220965,246.07040426528053,279.8398807743575,26.74159320095542,345.2137344503163,223.1436418297552,353.7208333333333
A.D. 2018-Dec-15 12:20:00.0000 UTC,240.4325169415348,216.99949337645776,349.8736935364214,246.30282570349118,279.96420660109555,26.723399729892733,345.22427645614795,223.54080373761943,353.72499999999997
A.D. 2018-Dec-16 12:20:00.0000 UTC,241.4858443674511,217.79669819736566,350.4734955109663,246.53492351058662,280.08888163067485,26.7059373625045,345.23533979443863,223.9371742287174,353.73333333333335
A.D. 2018-Dec-17 12:20:00.0000 UTC,242.6025592258159,218.60788287559976,351.073783437435,246.76667227997658,280.2138844123028,26.689213018259665,345.2469215018584,224.33273016733952,353.7416666666666
A.D. 2018-Dec-18 12:20:00.0000 UTC,243.77592815516496,219.43268328803245,351.6745388237329,246.99804708370698,280.3391938157728,26.673233189298102,345.2590184667026,224.72744883925523,353.5
A.D. 2018-Dec-19 12:20:00.0000 UTC,245.00003125818765,220.27075904955595,352.27574480934146,247.2290235375067,280.4647891046008,26.658003954735463,345.2716274564029,225.12130798537137,353.5083333333334
A.D. 2018-Dec-20 12:20:00.0000 UTC,246.26967773746287,221.12179190370318,352.87738685229357,247.4595778370485,280.5906500118081,26.643531014230025,345.28474515685906,225.51428575409213,353.51666666666665
A.D. 2018-Dec-21 12:20:00.0000 UTC,247.5803233232517,221.98548338839487,353.4794536920729,247.6896867239358,280.7167567955035,26.629819748781657,345.29836822290423,225.90636050680732,353.52916666666664
A.D. 2018-Dec-22 12:20:00.0000 UTC,248.92799209844506,222.8615516165996,354.08193847321803,247.91932733837925,280.8430902421325,26.616875310943453,345.31249333360535,226.29751042626864,353.5416666666667
A.D. 2018-Dec-23 12:20:00.0000 UTC,250.30920411736417,223.74972731088636,354.684839767034,248.14847693628198,280.9696315865587,26.604702735257536,345.32711723972335,226.68771293050642,353.55416666666673
A.D. 2018-Dec-24 12:20:00.0000 UTC,251.72090954072837,224.649749635091,355.28816213833073,248.37711249437731,281.0963623374409,26.593307046437335,345.34223678738357,227.076943976371,353.56666666666666
A.D. 2018-Dec-25 12:20:00.0000 UTC,253.1604296635105,225.56136264949308,355.8919159689551,248.6052102805368,281.2232640307072,26.582693335878716,345.3578489060432,227.4651774125384,353.5833333333333
A.D. 2018-Dec-26 12:20:00.0000 UTC,254.62540496423313,226.4843131333483,356.496116486477,248.83274549363875,281.3503179655989,26.57286678374508,345.37395056025815,227.8523845478804,353.5958333333333
A.D. 2018-Dec-27 12:20:00.0000 UTC,256.1137500038387,227.41835005064183,357.1007822337439,249.05969205553347,281.4775049856084,26.56383262249223,345.3905386775834,228.238534031314,353.6125
A.D. 2018-Dec-28 12:20:00.0000 UTC,257.62361466592296,228.3632253590201,357.7059333783736,249.28602257896014,281.60480534536055,26.55559605723646,345.40761007142396,228.62359202432182,353.62916666666666
A.D. 2018-Dec-29 12:20:00.0000 UTC,259.15335098141014,229.31869551853467,358.3115902237906,249.51170847753312,281.7321986698222,26.5481621677654,345.4251613749807,229.00752256474186,353.6458333333333
A.D. 2018-Dec-30 12:20:00.0000 UTC,260.70148470569535,230.28452306653335,358.91777211492655,249.7367201565636,281.8596639853732,26.541535814022566,345.4431889943166,229.3902880011701,353.6666666666667
A.D. 2018-Dec-31 12:20:00.0000 UTC,262.26669089296433,231.2604778605444,359.52449675747744,249.96102722859357,281.9871797930775,26.535721557347504,345.46168908074634,229.77184940999913,353.6833333333334
A.D. 2019-Jan-01 12:20:00.0000 UTC,263.84777285651495,232.2463378551423,0.13177986716792942,250.18459871886947,282.1147241592795,26.530723600574188,345.4806575184575,230.15216695224186,0.23777777777777778
A.D. 2019-Jan-02 12:20:00.0000 UTC,265.4436440420373,233.24188945312792,0.7396350408992772,250.40740324711717,282.24227480869297,26.526545744759492,345.50008992249576,230.5312001649368,356.95416666666665
A.D. 2019-Jan-03 12:20:00.0000 UTC,267.05331244081896,234.24692753808986,1.3480737634370719,250.62940918500286,282.3698092138702,26.52319135880037,345.51998164341666,230.90890819709787,356.97499999999997
A.D. 2019-Jan-04 12:20:00.0000 UTC,268.6758672313221,235.2612552891711,1.9571054982188552,250.85058479320602,282.4973046798306,26.52066335892464,345.5403277764911,231.28525000353582,356.99583333333334
A.D. 2019-Jan-05 12:20:00.0000 UTC,270.31046737315853,236.28468384253563,2.5667378385855146,251.070898341174,282.6247384239908,26.518964196408167,345.56112317449066,231.66018450364007,356.7708333333333
A.D. 2019-Jan-06 12:20:00.0000 UTC,271.95633190079815,237.31703182856322,3.176976709160892,251.29031820989124,282.7520876508491,26.51809585286641,345.5823624635146,232.0336707080293,356.7916666666667
A.D. 2019-Jan-07 12:20:00.0000 UTC,273.6127316855376,238.3581247952968,3.7878266075119016,251.508812976041,282.8793296197243,26.5180598426866,345.6040400611957,232.40566780978034,356.81666666666666
A.D. 2019-Jan-08 12:20:00.0000 UTC,275.27898245870034,239.40779452991038,4.399290869583692,251.72635147605297,283.0064417033894,26.5188572217139,345.6261501962594,232.77613524182382,356.8416666666667
A.D. 2019-Jan-09 12:20:00.0000 UTC,276.95443891765564,240.46587830460706,5.011371935760459,251.94290285065668,283.1334014361597,26.520488600578457,345.6486869281661,233.1450327036534,356.8666666666666
A.D. 2019-Jan-10 12:20:00.0000 UTC,278.6384897668402,241.53221809175025,5.624071592712338,252.1584365737632,283.26018655172106,26.522954160489178,345.67164416564236,233.51232016745996,356.89166666666665
A.D. 2019-Jan-11 12:20:00.0000 UTC,280.330553574953,242.6066598059373,6.237391171666517,252.37292247248516,283.38677501314027,26.52625366925002,345.69501568336705,233.8779578760187,356.92083333333335
A.D. 2019-Jan-12 12:20:00.0000 UTC,282.03007535384194,243.68905263294687,6.851331695721979,252.58633074683382,283.5131450394485,26.530386495794996,345.7187951368366,234.24190634853207,356.94583333333327
A.D. 2019-Jan-13 12:20:00.0000 UTC,283.736523782577,244.77924849506678,7.465893985599408,252.79863199743025,283.6392751343983,26.535351622665512,345.74297607635646,234.60412640353732,356.97499999999997
A.D. 2019-Jan-14 12:20:00.0000 UTC,285.44938901077705,245.8771016785772,8.081078753072498,253.0097972670021,283.76514412307995,26.541147657491482,345.7675519620662,234.96457920592619,356.75416666666666
A.D. 2019-Jan-15 12:20:00.0000 UTC,287.16818097651804,246.98246860972972,8.69688673281544,253.21979809592287,283.890731200565,26.54777284660806,345.79251618273656,235.3232263283737,356.7833333333333
A.D. 2019-Jan-16 12:20:00.0000 UTC,288.8924281615516,248.0952077057282,9.313318923739347,253.42860658272195,284.0160159928464,26.555225096286023,345.8178620815431,235.68002980348467,356.81666666666666
A.D. 2019-Jan-17 12:20:00.0000 UTC,290.6216766730666,249.2151791455739,9.930377021742357,253.6361954269281,284.1409786231149,26.563502009099718,345.8435829915517,236.0349521167084,356.84583333333336
A.D. 2019-Jan-18 12:20:00.0000 UTC,292.35548948175193,250.34224431602615,10.548064110294524,253.84253791572652,284.265599765589,26.572600943335516,345.8696722814421,236.38795606952507,356.87916666666666
A.D. 2019-Jan-19 12:20:00.0000 UTC,294.0934455691946,251.47626463751956,11.166385610034219,254.04760780496562,284.38986065713567,26.58251909977541,345.89612340727626,236.73900443357715,356.91249999999997
A.D. 2019-Jan-20 12:20:00.0000 UTC,295.83513868195035,252.61709954760602,11.785350361517024,254.25137905281326,284.51374303109,26.59325363061784,345.92292995936145,237.08805934925905,356.94583333333327
A.D. 2019-Jan-21 12:20:00.0000 UTC,297.58017542210877,253.76460368845764,12.404971560328475,254.45382540429486,284.6372289488999,26.604801750884175,345.95008568757584,237.43508150910966,356.9791666666667
A.D. 2019-Jan-22 12:20:00.0000 UTC,299.32817257428815,254.91862376401073,13.025267180408177,254.6549198928019,284.76030053916463,26.617160820707525,345.9775844893402,237.7800292879165,356.76250000000005
A.D. 2019-Jan-23 12:20:00.0000 UTC,301.0787538277497,256.0789958661748,13.646259621122914,254.85463438496086,284.88293969812077,26.63032836836382,346.0054203552392,238.12285806031605,356.79583333333335
A.D. 2019-Jan-24 12:20:00.0000 UTC,302.83154623505703,257.24554402829426,14.267974596750024,255.05293929936659,285.00512783144046,26.644302043246835,346.0335872840989,238.4635199116574,356.8333333333333
A.D. 2019-Jan-25 12:20:00.0000 UTC,304.58617670306603,258.4180803006048,14.890439588475417,255.2498035634409,285.1268457022304,26.65907951509197,346.06207919139314,238.80196379282822,356.87083333333334
A.D. 2019-Jan-26 12:20:00.0000 UTC,306.3422685583695,259.59640605806305,15.513682299453654,255.44519477885396,285.2480734037012,26.674658352912616,346.0908898341797,239.13813600716165,356.90833333333336
A.D. 2019-Jan-27 12:20:00.0000 UTC,308.09943794419934,260.780313917726,16.13772944623571,255.63907950503906,285.3687904296467,26.691035915487785,346.1200127646484,239.47198083241435,356.94583333333327
A.D. 2019-Jan-28 12:20:00.0000 UTC,309.857289645945,261.9695896749984,16.762606006135623,255.8314235663694,285.48897579599964,26.708209270920747,346.14944131172825,239.80344111198235,356.98333333333335
A.D. 2019-Jan-29 12:20:00.0000 UTC,311.6154119303123,263.16401391293766,17.388334865133885,256.0221923219695,285.60860817245856,26.726175147584826,346.1791685828285,240.13245872562914,356.7708333333333
A.D. 2019-Jan-30 12:20:00.0000 UTC,313.3733700472215,264.3633631922725,18.01493673464813,256.2113508762615,285.72766600041206,26.74492990979184,346.20918747654065,240.45897492666654,356.8125
A.D. 2019-Jan-31 12:20:00.0000 UTC,315.13069810931586,265.5674108866091,18.642430208767273,256.39886423471916,285.84612758947503,26.764469549201007,346.2394906994347,240.7829305718034,356.84999999999997
A.D. 2019-Feb-01 12:20:00.0000 UTC,316.88688909663097,266.7759277833758,19.270831872649016,256.5846974203003,285.9639711947472,26.784789684591587,346.27007078319593,241.10426628200176,356.89166666666665
A.D. 2019-Feb-02 12:20:00.0000 UTC,318.64138273167606,267.988682563807,19.900156415496895,256.7688155665001,286.08117508068017,26.805885565474767,346.30092010083075,241.42292256720066,356.93333333333334
A.D. 2019-Feb-03 12:20:00.0000 UTC,320.3935509445766,269.2054422411261,20.530416733592904,256.95118399841925,286.1977175773288,26.827752077597214,346.3320308821123,241.73883993380431,356.97499999999997
A.D. 2019-Feb-04 12:20:00.0000 UTC,322.142680612232,270.4259725982476,21.161624027056778,257.13176830755646,286.31357713281903,26.8503837500942,346.3633952289795,242.05195898447005,356.76666666666665
A.D. 2019-Feb-05 12:20:00.0000 UTC,323.88795322126117,271.65003863635224,21.793787900231028,257.3105344213761,286.4287323635313,26.873774764815753,346.3950051315221,242.3622205097669,356.80833333333334
A.D. 2019-Feb-06 12:20:00.0000 UTC,325.6284210826392,272.87740502839665,22.426916473414597,257.48744866609576,286.5431621017063,26.89791896835077,346.42685248478773,242.66956556687774,356.8541666666667
A.D. 2019-Feb-07 12:20:00.0000 UTC,327.36297972775145,274.10783656787993,23.061016507107013,257.66247782086435,286.6568454394306,26.922809886803236,346.4589291062219,242.97393554283676,356.8958333333333
