Time,mercury,venus,mars,jupiter,saturn,uranus,neptune,ceres,chiron
A.D. 2020-Jan-15 00:00:00.0000 UTC,299.2295285652436,333.8213268267054,245.80482586190558,280.45011770029987,294.5859713580649,30.362389697005494,347.8008073931601,295.8898422112515,0.2791666666666666
A.D. 2020-Jan-16 00:00:00.0000 UTC,301.00712640493254,334.9677946973497,246.52110317586946,280.6962307771332,294.7117030379041,30.36592205617357,347.8248933599421,296.32911801038136,0.2791666666666666
A.D. 2020-Jan-17 00:00:00.0000 UTC,302.7832419733416,336.1089958379492,247.23893509689682,280.94186459771475,294.8373647984727,30.37029314182133,347.84937550721764,296.7679697066244,0.2791666666666666
A.D. 2020-Jan-18 00:00:00.0000 UTC,304.55707646796213,337.24504438206856,247.95829526983718,281.18699288477677,294.96293644778,30.375503691130945,347.8742484190937,297.2063768083612,0.2791666666666666
A.D. 2020-Jan-19 00:00:00.0000 UTC,306.3277536244039,338.37605546625383,248.67915453814513,281.43158834015804,295.08839722567416,30.381554180296376,347.89950645154323,297.644317394265,0.2791666666666666
A.D. 2020-Jan-20 00:00:00.0000 UTC,308.09430551949646,339.50214467625983,249.40148155404282,281.67562280756044,295.2137258698961,30.388444750018277,347.92514371090505,298.08176828336894,0.2791666666666666
A.D. 2020-Jan-21 00:00:00.0000 UTC,309.85565574402204,340.62342773249446,250.12524337769662,281.91906746699755,295.3389007083518,30.396175146587282,347.9511540464064,298.5187052736337,0.2791666666666666
A.D. 2020-Jan-22 00:00:00.0000 UTC,311.6105994965955,341.74002034993873,250.85040603638978,282.16189304184184,295.46389976598175,30.40474467885483,347.9775310540919,298.95510341743636,0.2791666666666666
A.D. 2020-Jan-23 00:00:00.0000 UTC,313.3577801562138,342.85203823148635,251.5769350290367,282.40407000656984,295.5887008785796,30.414152190605847,348.0042680900777,299.3909373146702,0.2791666666666666
A.D. 2020-Jan-24 00:00:00.0000 UTC,315.0956618945258,343.9595971685419,252.30479576190237,282.64556878547484,295.71328180737186,30.42439604799564,348.03135829147726,299.82618140836024,0.2791666666666666
A.D. 2020-Jan-25 00:00:00.0000 UTC,316.8224979016896,345.06281322203046,253.03395389798175,282.8863599319058,295.837620347818,30.435474141588955,348.05879460321665,300.2608102659164,0.2791666666666666
A.D. 2020-Jan-26 00:00:00.0000 UTC,318.5362938439237,346.16180294594454,253.76437560426305,283.1264142773887,295.9616944256828,30.447383901623223,348.0865698084224,300.69479882818575,0.2791666666666666
A.D. 2020-Jan-27 00:00:00.0000 UTC,320.23476627274414,347.2566836054272,254.49602769136516,283.36570304259595,296.0854821744569,30.460122323698698,348.1146765596016,301.128122610449,0.2791666666666666
A.D. 2020-Jan-28 00:00:00.0000 UTC,321.9152958909554,348.34757334124015,255.22887765614541,283.6041979077155,296.208961991012,30.473686000857935,348.1431074078741,301.5607578462244,0.2791666666666666
A.D. 2020-Jan-29 00:00:00.0000 UTC,323.5748758722979,349.4345912451902,255.96289365344606,283.8418710465489,296.3321125702172,30.488071157597478,348.17185482819826,301.9926815747405,0.2791666666666666
A.D. 2020-Jan-30 00:00:00.0000 UTC,325.2100558529322,350.51785733273937,256.6980444326975,284.0786951343827,296.45491292284476,30.503273681950844,348.20091123966495,302.4238716836368,0.2791666666666666
A.D. 2020-Jan-31 00:00:00.0000 UTC,326.8168827866875,351.59749242296,257.43429927631104,284.3146433427767,296.5773423834709,30.519289153170337,348.23026902117255,302.8543069235844,0.2791666666666666
A.D. 2020-Feb-01 00:00:00.0000 UTC,328.39084060316526,352.6736179570083,258.1716279705486,284.5496893345583,296.69938061585765,30.536112864306517,348.2599205238608,303.2839669160967,0.2791666666666666
A.D. 2020-Feb-02 00:00:00.0000 UTC,329.9267915392893,353.74635580232393,258.9100008280827,284.7838072699885,296.82100762263457,30.553739840781276,348.2898580824139,303.7128321743566,0.2791666666666666
A.D. 2020-Feb-03 00:00:00.0000 UTC,331.4189231189474,354.815828101186,259.64938876615645,285.0169718307896,296.9422037642301,30.572164857705246,348.32007402773615,304.1408841508792,0.2791666666666666
A.D. 2020-Feb-04 00:00:00.0000 UTC,332.8607059822627,355.88215722949786,260.389763424582,285.2491582624506,297.06294978892595,30.591382460163715,348.35056070352584,304.5681053213918,0.2791666666666666
A.D. 2020-Feb-05 00:00:00.0000 UTC,334.24486901344454,356.94546593120816,261.1310972824826,285.48034242638414,297.18322687124714,30.611386991819995,348.38131048876886,304.9944793016227,0.2791666666666666
A.D. 2020-Feb-06 00:00:00.0000 UTC,335.56339932209715,358.00587767664206,261.8733637017928,285.71050084160305,297.3030166492344,30.632172637471413,348.4123158268053,305.41999097369774,0.2791666666666666
A.D. 2020-Feb-07 00:00:00.0000 UTC,336.8075753832255,359.0635172444324,262.6165367961342,285.93961068196273,297.4223012428578,30.653733483572037,348.44356925895585,305.8446265798081,0.2791666666666666
A.D. 2020-Feb-08 00:00:00.0000 UTC,337.9680418044272,0.11851143524742007,263.36059101433915,286.167649685178,297.5410632285679,30.676063595883495,348.47506345666943,306.2683737118621,0.2791666666666666
A.D. 2020-Feb-09 00:00:00.0000 UTC,339.03493358009524,1.1709897024577332,264.1055003674451,286.3945959342708,297.6592855445179,30.69915710486269,348.5067912418433,306.6912211221753,0.2791666666666666
A.D. 2020-Feb-10 00:00:00.0000 UTC,339.99805624920185,2.2210843859148586,264.8512373367604,286.6204275017367,297.7769513142976,30.723008279482126,348.53874558309616,307.11315830394364,0.2791666666666666
