north_node,south_node
125.9342965,305.9342965
125.905943,305.905943
125.8893977,305.8893977
125.8856314,305.8856314
125.8926625,305.8926625
125.9063969,305.9063969
125.9218813,305.9218813
125.9346415,305.9346415
125.9416621,305.9416621
125.9418381,305.9418381
125.9358796,305.9358796
125.925793,305.925793
125.9141518,305.9141518
125.903376,305.903376
125.8951751,305.8951751
125.89025,305.89025
125.8882734,305.8882734
125.8881149,305.8881149
125.8882365,305.8882365
125.887164,305.887164
125.8839396,305.8839396
125.8784566,305.8784566
125.8715871,305.8715871
125.8650423,305.8650423
125.8609529,305.8609529
125.8612317,305.8612317
125.8668617,305.8668617
125.8773218,305.8773218
125.890374,305.890374
125.9023509,305.9023509
125.9089742,305.9089742
125.9065161,305.9065161
125.8929793,305.8929793
125.8688946,305.8688946
125.837431,305.837431
125.8037918,305.8037918
125.7740406,305.7740406
125.7536907,305.7536907
125.7464257,305.7464257
125.7532373,305.7532373
125.7721376,305.7721376
125.7984524,305.7984524
125.8255878,305.8255878
125.8461127,305.8461127
125.8529837,305.8529837
125.8407465,305.8407465
125.8065577,305.8065577
125.7508862,305.7508862
125.6777603,305.6777603
125.5944408,305.5944408
125.5104493,305.5104493
125.4359936,305.4359936
125.3799936,305.3799936
125.348065,305.348065
125.3409195,305.3409195
125.3536623,305.3536623
125.3763631,305.3763631
125.3959119,305.3959119
125.3988131,305.3988131
125.3744308,305.3744308
125.3176511,305.3176511
125.2303524,305.2303524
125.1210974,305.1210974
125.0031838,305.0031838
124.8915859,304.8915859
124.799638,304.799638
124.7362736,304.7362736
124.7043596,304.7043596
124.7003315,304.7003315
124.7150285,304.7150285
124.7354223,304.7354223
124.7468709,304.7468709
124.7355453,304.7355453
124.6907194,304.6907194
124.6066435,304.6066435
124.4837561,304.4837561
124.3290107,304.3290107
124.1551351,304.1551351
123.9787563,303.9787563
123.8175396,303.8175396
123.6867826,303.6867826
123.5961293,303.5961293
123.5471612,303.5471612
123.5325538,303.5325538
123.5372069,303.5372069
123.5411741,303.5411741
123.523931,303.523931
123.4689609,303.4689609
123.367611,303.367611
123.2211224,303.2211224
123.0403408,303.0403408
122.8431821,302.8431821
122.6505215,302.6505215
122.4816528,302.4816528
122.3504435,302.3504435
122.262919,302.262919
122.2165449,302.2165449
122.2010979,302.2010979
122.2007585,302.2007585
122.1969591,302.1969591
122.1715313,302.1715313
122.1097489,302.1097489
122.0028962,302.0028962
121.8499946,301.8499946
121.6583517,301.6583517
121.4426843,301.4426843
121.2227628,301.2227628
121.019818,301.019818
120.8523133,300.8523133
120.731986,300.731986
120.6611196,300.6611196
120.6317655,300.6317655
120.6272133,300.6272133
120.6254891,300.6254891
120.6040795,300.6040795
120.5448557,300.5448557
120.4379871,300.4379871
120.2839819,300.2839819
120.093314,300.093314
119.8838482,299.8838482
119.6767971,299.6767971
119.4922651,299.4922651
119.3454247,299.3454247
119.2440357,299.2440357
119.1875668,299.1875668
119.1678132,299.1678132
119.1706934,299.1706934
119.1788282,299.1788282
119.1744989,299.1744989
119.1426071,299.1426071
119.0732626,299.0732626
118.9636219,298.9636219
118.8186105,298.8186105
118.650264,298.650264
118.4756423,298.4756423
118.3135709,298.3135709
118.180778,298.180778
118.0882647,298.0882647
118.0388404,298.0388404
118.0264839,298.0264839
118.0376978,298.0376978
118.0545646,298.0545646
118.0587822,298.0587822
118.0356591,298.0356591
117.9770919,297.9770919
117.8829788,297.8829788
117.7607881,297.7607881
117.62349,297.62349
117.4865606,297.4865606
117.3648229,297.3648229
117.2697765,297.2697765
117.2078578,297.2078578
117.1797924,297.1797924
117.1809502,297.1809502
117.2024807,297.2024807
117.2329744,297.2329744
117.2604069,297.2604069
117.2741171,297.2741171
117.2665591,297.2665591
117.2345655,297.2345655
117.1798883,297.1798883
117.108852,297.108852
117.0310958,297.0310958
116.9575912,296.9575912
116.8983181,296.8983181
116.8601042,296.8601042
116.8451767,296.8451767
116.8508354,296.8508354
116.8703151,296.8703151
116.8945945,296.8945945
116.9146081,296.9146081
116.9233452,296.9233452
116.9171179,296.9171179
116.8960148,296.8960148
116.8634076,296.8634076
116.8247595,296.8247595
116.7861851,296.7861851
116.7531312,296.7531312
116.7294187,296.7294187
116.7167656,296.7167656
116.7147916,296.7147916
116.7214088,296.7214088
116.7334602,296.7334602
116.747458,296.747458
116.7602947,296.7602947
116.7698075,296.7698075
116.7751007,296.7751007
116.7765645,296.7765645
116.7755837,296.7755837
116.7739946,296.7739946
116.7734177,296.7734177
116.7746503,296.7746503
116.7773247,296.7773247
116.7799599,296.7799599
116.7804385,296.7804385
116.7768065,296.7768065
116.7681284,296.7681284
116.7550389,296.7550389
116.739854,296.739854
116.726048,296.726048
116.7173531,296.7173531
116.7166928,296.7166928
116.7252999,296.7252999
116.7422291,296.7422291
116.7643698,296.7643698
116.7869269,296.7869269
116.8042433,296.8042433
116.8107985,296.8107985
116.8022196,296.8022196
116.7761552,296.7761552
116.73288,296.73288
116.6755217,296.6755217
116.6098258,296.6098258
116.5434207,296.5434207
116.4846104,296.4846104
116.4408385,296.4408385
116.4170787,296.4170787
116.4144942,296.4144942
116.4297216,296.4297216
116.4550602,296.4550602
116.4797031,296.4797031
116.4919002,296.4919002
116.481669,296.481669
116.4434073,296.4434073
116.3776328,296.3776328
116.2912603,296.2912603
116.1960463,296.1960463
116.1058519,296.1058519
116.033296,296.033296
115.9868241,295.9868241
115.9689494,295.9689494
115.9758758,295.9758758
115.9983947,295.9983947
116.0237207,296.0237207
116.037811,296.037811
116.0277482,296.0277482
115.9838605,295.9838605
115.9013487,295.9013487
115.7812316,295.7812316
115.6304644,295.6304644
115.4611413,295.4611413
115.2887895,295.2887895
115.1299057,295.1299057
114.9990598,294.9990598
114.9060559,294.9060559
114.8537294,294.8537294
114.8369254,294.8369254
114.8430267,294.8430267
114.8541295,294.8541295
114.8506017,294.8506017
114.8153675,294.8153675
114.7379926,294.7379926
114.6174064,294.6174064
114.4624501,294.4624501
114.2897825,294.2897825
114.1197945,294.1197945
113.9717272,293.9717272
113.8593159,293.8593159
113.7880893,293.7880893
113.7546912,293.7546912
113.7480173,293.7480173
113.7516549,293.7516549
113.7470073,293.7470073
113.716533,293.716533
113.6466556,293.6466556
113.5300128,293.5300128
113.3667811,293.3667811
113.1648722,293.1648722
112.9388941,292.9388941
112.7079271,292.7079271
112.4923697,292.4923697
112.3103216,292.3103216
112.1741365,292.1741365
112.0878476,292.0878476
112.0460791,292.0460791
112.0347976,292.0347976
112.0338948,292.0338948
112.0212284,292.0212284
111.9773624,291.9773624
111.8899702,291.8899702
111.7567177,291.7567177
111.5858477,291.5858477
111.3940904,291.3940904
111.202535,291.202535
111.0316735,291.0316735
110.8969279,290.8969279
110.8057457,290.8057457
110.7566875,290.7566875
110.7403284,290.7403284
110.7414835,290.7414835
110.7421847,290.7421847
110.72487,290.72487
110.6753369,290.6753369
110.5850922,290.5850922
110.4528017,290.4528017
110.2846121,290.2846121
110.0932314,290.0932314
109.8958329,289.8958329
109.7110611,289.7110611
109.5556221,289.5556221
109.44108,289.44108
109.3715164,289.3715164
109.3426033,289.3426033
109.3423689,289.3423689
109.3535822,289.3535822
109.3573496,289.3573496
109.3371841,289.3371841
109.2825769,289.2825769
109.1912566,289.1912566
109.0694052,289.0694052
108.9299525,288.9299525
108.7893336,288.7893336
108.6637214,288.6637214
108.5657024,288.5657024
108.5020758,288.5020758
108.4730611,288.4730611
108.4728142,288.4728142
108.4909246,288.4909246
108.514495,288.514495
108.5304363,288.5304363
108.5276598,288.5276598
108.4988787,288.4988787
108.441776,288.441776
108.3593511,288.3593511
108.2593615,288.2593615
108.152908,288.152908
108.0523755,288.0523755
107.9690788,287.9690788
