time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2019-Jul-15 12:20:00.0000 UTC,122.06322900301589,104.2915064698824,128.34229661619185,255.33844472872354,286.51571379633685,36.038066889736875,348.3014475815833,291.5968064564632,240.23238009488955
A.D. 2019-Jul-16 12:20:00.0000 UTC,121.50246764088527,105.51874812238181,128.97701229918036,255.260648242169,286.4427235163299,36.05971791443195,348.28874021971734,291.5724717013508,240.22193297218212
A.D. 2019-Jul-17 12:20:00.0000 UTC,120.89642670878307,106.74628970614236,129.6116614942752,255.18542222743338,286.36998534660387,36.08060892296279,348.27556591759685,291.5481551648115,240.21758366777016
A.D. 2019-Jul-18 12:20:00.0000 UTC,120.25434713139506,107.97414014845177,130.24625472963686,255.1128061707443,286.2975340265723,36.10073537867113,348.26192921350474,291.52386523571533,240.21930236910663
A.D. 2019-Jul-19 12:20:00.0000 UTC,119.5864721868302,109.20230750713877,130.8808024276561,255.04283835002363,286.22540430534116,36.12009272811821,348.24783472423337,291.4996103352017,240.22705767413743
A.D. 2019-Jul-20 12:20:00.0000 UTC,118.90387683620294,110.4307988532268,131.51531473346802,254.9755558644507,286.153630973495,36.1386764194,348.23328716729145,291.47539892936516,240.2408167120683
A.D. 2019-Jul-21 12:20:00.0000 UTC,118.2182523963664,111.65962020933632,132.14980138968554,254.91099463775933,286.08224887828027,36.15648192252916,348.2182913804791,291.4512395374221,240.26054521738385
A.D. 2019-Jul-22 12:20:00.0000 UTC,117.54165711729618,112.88877652306604,132.78427164847596,254.84918940914554,286.01129292705195,36.17350474913236,348.2028523382026,291.42714073655594,240.28620758471004
A.D. 2019-Jul-23 12:20:00.0000 UTC,116.88624682958155,114.11827164801552,133.4187342045391,254.79017372531956,285.9407980855298,36.18974046963184,348.1869751649107,291.4031111651683,240.3177669341641
A.D. 2019-Jul-24 12:20:00.0000 UTC,116.26400199703917,115.34810830220995,134.05319712723485,254.7339799440803,285.87079937780874,36.20518472745565,348.17066514703123,291.37915952646335,240.35518519809364
A.D. 2019-Jul-25 12:20:00.0000 UTC,115.68646786026414,116.57828797472648,134.68766776764528,254.6806392540852,285.8013318940651,36.219833251520065,348.15392774566067,291.35529459412083,240.3984232343407
A.D. 2019-Jul-26 12:20:00.0000 UTC,115.1645228231816,117.80881075735539,135.3221526175678,254.63018170713,285.73243080924567,36.2336818701931,348.13676861289474,291.3315252211992,240.44744094672413
A.D. 2019-Jul-27 12:20:00.0000 UTC,114.70818708942717,119.0396750920167,135.9566571044525,254.58263624801475,285.6641314112149,36.246726532043716,348.1191936148719,291.3078603521859,240.5021973746493
A.D. 2019-Jul-28 12:20:00.0000 UTC,114.32647933969677,120.27087745103942,136.5911853229109,254.53803071334823,285.5964691292832,36.25896334045515,348.101208863881,291.28430903609393,240.56265069034683
A.D. 2019-Jul-29 12:20:00.0000 UTC,114.02732462173707,121.50241200990293,137.2257397336712,254.49639175743408,285.5294795439594,36.270388609519955,348.08282075957834,291.26088043564715,240.62875802588343
A.D. 2019-Jul-30 12:20:00.0000 UTC,113.81751222360589,122.73427042589984,137.86032090399166,254.45774465858247,285.4631983488599,36.28099894566698,348.0640360349148,291.23758382456526,240.70047505676672
A.D. 2019-Jul-31 12:20:00.0000 UTC,113.70269855896677,123.9664418785317,138.49492740586072,254.42211297538347,285.39766123263485,36.290791351404984,348.0448617962853,291.2144285634968,240.77775532076222
A.D. 2019-Aug-01 12:20:00.0000 UTC,113.6874472313179,125.19891351591302,139.1295559987102,254.38951806932235,285.3329036616421,36.29976333499647,348.0253055423566,291.1914240479235,240.86054935482622
A.D. 2019-Aug-02 12:20:00.0000 UTC,113.77529655407189,126.43167134899032,139.76420216721297,254.35997857886207,285.2689605768216,36.30791299827965,348.00537514660766,291.16857962985586,240.94880385635182
A.D. 2019-Aug-03 12:20:00.0000 UTC,113.96884398812007,127.66470145938484,140.39886096069407,254.33350998427258,285.2058660595428,36.31523907338411,347.9850787980217,291.1459045268211,241.0424611461888
A.D. 2019-Aug-04 12:20:00.0000 UTC,114.26983733159513,128.89799123199074,141.03352794824175,254.3101243969703,285.14365304534573,36.32174089318451,347.9644249097337,291.1234077395366,241.14145914772106
A.D. 2019-Aug-05 12:20:00.0000 UTC,114.67926397128129,130.13153030081196,141.66820005098091,254.28983063166675,285.0823531511472,36.32741830407081,347.94342201774265,291.1010979975584,241.24573191261965
A.D. 2019-Aug-06 12:20:00.0000 UTC,115.19743163514357,131.36531102665535,142.30287607742602,254.272634518367,285.02199663720774,36.332271548467894,347.92207869313705,291.07898374092906,241.35521053485888
A.D. 2019-Aug-07 12:20:00.0000 UTC,115.8240362578273,132.59932851488236,142.9375569187659,254.25853934582113,284.962612479069,36.33630114811092,347.9004034821024,291.0570731329832,241.46982420088324
A.D. 2019-Aug-08 12:20:00.0000 UTC,116.5582143939635,133.8335803144332,143.5722454724682,254.24754632443128,284.9042285015914,36.33950780919334,347.8784048756876,291.03537409219945,241.58950116106556
