time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon,north_node,south_node
A.D. 2020-Sep-04 12:20:00.0000 UTC,266.2975404,313.9027975,62.56288756,145.7300866,137.1901221,47.35379436,93.00494691,140.728418,114.1388172,277.9145691,80.93441548,84.5480711,264.5480711
A.D. 2020-Sep-05 12:20:00.0000 UTC,265.3989228,313.6755461,63.17850895,146.6608951,138.025773,48.20590027,93.4745171,141.5712022,114.7115714,277.6244803,70.93638739,84.3599787,264.3599787
A.D. 2020-Sep-06 12:20:00.0000 UTC,264.5140356,313.4399827,63.79622979,147.6022244,138.8739773,49.04294123,93.94440245,142.4268535,115.2874829,277.3332372,60.02253222,84.1928372,264.1928372
A.D. 2020-Sep-07 12:20:00.0000 UTC,263.6432042,313.196225,64.41605769,148.5539371,139.7348491,49.86524505,94.41482321,143.2954633,115.8666886,277.0408618,48.00591851,84.0636543,264.0636543
A.D. 2020-Sep-08 12:20:00.0000 UTC,262.7867463,312.9443914,65.03799424,149.5158733,140.6084885,50.67314408,94.88599962,144.1771075,116.4493235,276.7473765,34.8244709,83.9803264,263.9803264
A.D. 2020-Sep-09 12:20:00.0000 UTC,261.9449783,312.6846004,65.6620343,150.48785,141.4949801,51.46697387,95.35815227,145.0718445,117.0355207,276.4528044,20.63457518,83.9397909,263.9397909
A.D. 2020-Sep-10 12:20:00.0000 UTC,261.1182206,312.4169712,66.28816543,151.4696598,142.394391,52.24707195,95.83150235,145.9797139,117.625411,276.1571694,5.855008568,83.9291816,263.9291816
A.D. 2020-Sep-11 12:20:00.0000 UTC,260.3068039,312.1416233,66.9163675,152.4610712,143.3067702,53.01377728,96.3062722,146.9007352,118.2191237,275.8604968,351.0730443,83.9291546,263.9291546
A.D. 2020-Sep-12 12:20:00.0000 UTC,259.5110759,311.8586769,67.54661168,153.4618284,144.232147,53.76742939,96.78268564,147.8349066,118.8167856,275.5628138,336.8290263,83.9183231,263.9183231
A.D. 2020-Sep-13 12:20:00.0000 UTC,258.7314067,311.5682525,68.17885859,154.47165,145.1705288,54.50836727,97.26096797,148.7822025,119.4185212,275.2641497,323.4318946,83.87769,263.87769
A.D. 2020-Sep-14 12:20:00.0000 UTC,257.9681965,311.2704707,68.81305633,155.4902295,146.1218999,55.23692871,97.74134607,149.7425725,120.0244523,274.9645365,310.9204548,83.7941781,263.7941781
A.D. 2020-Sep-15 12:20:00.0000 UTC,257.2218817,310.9654516,69.44913793,156.5172352,147.0862197,55.95344945,98.22404827,150.7159396,120.6346973,274.664009,299.1346432,83.6627551,263.6627551
A.D. 2020-Sep-16 12:20:00.0000 UTC,256.4929424,310.6533137,70.08701849,157.5523107,148.0634216,56.65826179,98.70930397,151.7021988,121.2493711,274.3626045,287.8046665,83.4869689,263.4869689
A.D. 2020-Sep-17 12:20:00.0000 UTC,255.7819089,310.3341719,70.72659366,158.595076,149.0534115,57.3516932,99.19734349,152.7012158,121.868585,274.0603624,276.6098075,83.2779711,263.2779711
A.D. 2020-Sep-18 12:20:00.0000 UTC,255.0893699,310.0081362,71.36774031,159.6451288,150.0560678,58.03406537,99.68839854,153.7128264,122.4924482,273.7573232,265.2062635,83.0523296,263.0523296
A.D. 2020-Sep-19 12:20:00.0000 UTC,254.4159799,309.6753109,72.01032064,160.7020466,151.0712409,58.70569404,100.1827036,154.7368361,123.1210694,273.4535279,253.2429134,82.8290948,262.8290948
A.D. 2020-Sep-20 12:20:00.0000 UTC,253.7624692,309.3357939,72.65418909,161.7653887,152.0987538,59.36688985,100.6804978,155.7730205,123.7545591,273.1490173,240.390151,82.6266401,262.6266401
A.D. 2020-Sep-21 12:20:00.0000 UTC,253.1296524,308.9896761,73.29919985,162.8346968,153.1384008,60.01795942,101.182026,156.8211238,124.3930317,272.8438317,226.4103722,82.4597744,262.4597744
A.D. 2020-Sep-22 12:20:00.0000 UTC,252.5184389,308.6370419,73.94521313,163.9094955,154.1899459,60.65920601,101.6875397,157.8808582,125.0366049,272.5380096,211.2855913,82.3375214,262.3375214
A.D. 2020-Sep-23 12:20:00.0000 UTC,251.9298437,308.277969,74.592099,164.9892927,155.2531214,61.29092972,102.1972966,158.9519022,125.6853994,272.2315872,195.3522851,82.2618355,262.2618355
A.D. 2020-Sep-24 12:20:00.0000 UTC,251.3649988,307.9125293,75.23973865,166.0735798,156.3276264,61.91342697,102.7115602,160.0339,126.3395373,271.9245978,179.2945509,82.2273822,262.2273822
A.D. 2020-Sep-25 12:20:00.0000 UTC,250.8251675,307.5407894,75.88802413,167.1618329,157.4131261,62.52698993,103.2305995,161.1264608,126.999141,271.6170718,163.8933493,82.2223946,262.2223946
A.D. 2020-Sep-26 12:20:00.0000 UTC,250.311759,307.1628122,76.53685723,168.2535139,158.509251,63.13190609,103.7546891,162.2291591,127.6643319,271.309037,149.697962,82.2305254,262.2305254
A.D. 2020-Sep-27 12:20:00.0000 UTC,249.8263458,306.778657,77.18614806,169.3480719,159.6155971,63.72845757,104.2841093,163.3415345,128.3352299,271.0005192,136.8904523,82.2335308,262.2335308
A.D. 2020-Sep-28 12:20:00.0000 UTC,249.3706819,306.3883806,77.83581358,170.4449446,160.7317253,64.31692084,104.819146,164.4630923,129.0119526,270.6915426,125.3694531,82.2145079,262.2145079
A.D. 2020-Sep-29 12:20:00.0000 UTC,248.9467235,305.9920375,78.48577674,171.5435606,161.8571625,64.89756683,105.360092,165.5933043,129.6946151,270.3821304,114.8959847,82.1612308,262.1612308
A.D. 2020-Sep-30 12:20:00.0000 UTC,248.5566514,305.5896816,79.13596565,172.643342,162.9914026,65.47066118,105.9072471,166.7316108,130.38333,270.0723058,105.1952189,82.0689371,262.0689371
A.D. 2020-Oct-01 12:20:00.0000 UTC,248.2028946,305.1813658,79.78631266,173.7437058,164.1339073,66.03646424,106.4609193,167.8774215,131.0782072,269.7620926,96.00177164,81.9418108,261.9418108
