time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres,sun,moon
A.D. 2018-Jan-30 12:20:00.0000 UTC,255.05048493172984,252.17727814948373,291.29221003889967,332.04236985487813,263.94375636922183,229.86609989552943,247.40931814039607,259.0447701669154,61.15722857736457,254.3983880945582,79.0753786535813
A.D. 2018-Jan-31 12:20:00.0000 UTC,255.0458974086384,252.3774214854761,291.4316420540127,335.8506860571856,264.2740013498768,231.40798546252012,247.9947097607301,259.39745452555917,61.515319450893784,254.6344138600974,75.11689999770113
A.D. 2018-Feb-01 12:20:00.0000 UTC,255.05834013701624,252.58601599064514,291.57996652164456,339.89853315847336,264.60700002376143,232.8843106583347,248.57166286954612,259.75013327069854,61.86725210720842,254.8762661523096,71.62557878898276
A.D. 2018-Feb-02 12:20:00.0000 UTC,255.08770494088444,252.8029077237354,291.737793168972,344.1708679316945,264.9429918266866,234.29862326663968,249.140505189545,260.1029603783054,62.21312781508977,255.12384453177043,68.19385879873273
A.D. 2018-Feb-03 12:20:00.0000 UTC,255.13387726127468,253.02794089278927,291.90578291255383,348.6417338152118,265.2822301857429,235.65436648895337,249.70155672743317,260.4560941560099,62.55304742764063,255.37704807328575,64.42089326442303
A.D. 2018-Feb-04 12:20:00.0000 UTC,255.1967376887108,253.26095726433826,292.08465169763804,353.27378853297887,265.62498298211034,236.95485781837826,250.25512907221454,260.80969668916464,62.88710983748013,255.6357748483768,59.73351190388336
A.D. 2018-Feb-05 12:20:00.0000 UTC,255.27616369231498,253.50179575828588,292.2751754090935,358.01918239949515,265.9715340200109,238.20327377939182,250.80152480250285,261.16393399530983,63.215411061620465,255.8999215334801,53.02736244734625
A.D. 2018-Feb-06 12:20:00.0000 UTC,255.37203152079476,253.75029246330413,292.47819595512163,2.8219799707544286,266.3221853488931,239.402640632017,251.34103748371086,261.51897686809207,63.538044114529924,256.16938338022516,41.62964395776431
A.D. 2018-Feb-07 12:20:00.0000 UTC,255.48421808133077,254.0062807728175,292.6946276001648,7.621943732970289,266.67725987532424,240.55582976765137,251.87395196889688,261.8750019271867,63.855099252694174,256.4440542753068,18.251258661388047
A.D. 2018-Feb-08 12:20:00.0000 UTC,255.61260277218116,254.26959166062957,292.9254642216245,12.359102993287955,267.03710416898673,241.66555719958336,252.4005450081836,262.2321927584187,64.16666442089797,256.7238269246553,334.58634008392767
A.D. 2018-Feb-09 12:20:00.0000 UTC,255.75706917948258,254.54005393967785,293.17178748591414,16.978273545886793,267.40209137077323,242.73438583674667,252.92108590458042,262.59074099355547,64.4728256647561,257.00859302843065,298.41998441204015
A.D. 2018-Feb-10 12:20:00.0000 UTC,255.91750642920024,254.8174942245276,293.4347751287252,21.432707773095327,267.77262405784217,243.76472907516617,253.4358368395924,262.95084713736554,64.77366727816528,257.2982431927412,281.3265797175304
A.D. 2018-Feb-11 12:20:00.0000 UTC,256.09381056911883,255.10173699749683,293.71571096767036,25.68634114206903,268.14913751421267,244.75885606003257,253.94505331445203,263.3127215084726,65.069271976032,257.592666958947,272.59484392578116
A.D. 2018-Feb-12 12:20:00.0000 UTC,256.2858860898677,255.3926048849168,294.01599718079325,29.714502206963395,268.5321035923409,245.71889826222298,254.4489848015657,263.6765854120946,65.35972116250254,257.891753045625,267.31610589805354
A.D. 2018-Feb-13 12:20:00.0000 UTC,256.4936472413237,255.6899187631869,294.3371673074487,33.50330777440537,268.9220348925018,246.64685615574277,254.94787517647103,264.04267225424394,65.64509504702627,258.19538943600054,263.67973246555493
A.D. 2018-Feb-14 12:20:00.0000 UTC,256.71701921207483,255.99349778565502,294.68090028312287,37.04817272756701,269.319489381734,247.5446060578513,255.44196305865452,264.4112286696816,65.92547268797621,258.5034633871424,260.90665228251993
A.D. 2018-Feb-15 12:20:00.0000 UTC,256.9559394087668,256.30315951252516,295.04903640628936,40.35189535782835,269.72507566245724,248.41390737154242,255.93148227147447,264.78251579633155,66.20093207237295,258.8158615212008,258.5985092609216
A.D. 2018-Feb-16 12:20:00.0000 UTC,257.21035920875545,256.61871998575765,295.4435948626869,43.42269006018835,270.1394588152466,249.2564097844017,256.41666224613806,265.1568105549348,66.47155010980256,259.1324698409482,256.50947294474344
A.D. 2018-Feb-17 12:20:00.0000 UTC,257.48024698786026,256.9399937520205,295.8667933141428,46.27240974738054,270.56336693628793,250.07366033938808,256.8977283684547,265.534406941908,66.73740252862308,259.45317366976684,254.44626106329957
A.D. 2018-Feb-18 12:20:00.0000 UTC,257.76558746892124,257.26679381308804,296.32107013982056,48.91507667841021,270.9975985318084,250.8671102334237,257.37490223564043,265.9156173504469,66.99856365845693,259.77785750099184,252.20249181334546
A.D. 2018-Feb-19 12:20:00.0000 UTC,258.0663746213622,257.5989314658028,296.8091099462016,51.36574974807833,271.4430309869797,251.63812116702624,257.8484017739271,266.30077395291784,67.25510609406409,260.10640473257786,249.47634191592792
A.D. 2018-Feb-20 12:20:00.0000 UTC,258.3826161676173,257.9362160422501,297.33387321070387,53.639702449628494,271.900630443949,252.3879711634764,258.3184412259242,266.6902302474599,67.50710029138203,260.4386973141063,245.6882613865628
A.D. 2018-Feb-21 12:20:00.0000 UTC,258.714337683351,258.278454539506,297.8986307145474,55.751860575216334,272.37146344482744,253.11785977465243,258.7852310060914,267.08436286221814,67.75461415344445,260.7746153135233,239.40265836988868
A.D. 2018-Feb-22 12:20:00.0000 UTC,259.0615793107164,258.6254513123399,298.50700441725473,57.71644359818421,272.85671093108465,253.82891292631078,259.2489776171925,267.483573862472,67.99771276529613,261.1140365807351,225.7939946693159
A.D. 2018-Feb-23 12:20:00.0000 UTC,259.4243925372374,258.97700787168066,299.1630158762155,59.546757114659634,273.35768513115084,254.52218744358825,259.7098836876974,267.88829369936957,68.23645836356954,261.45683656103137,184.3626723610984
A.D. 2018-Feb-24 12:20:00.0000 UTC,259.8028368197177,259.33292265728,299.8711421229524,61.2550918208185,273.87584972024183,255.1986750691805,260.16814802028244,268.29898477229983,68.47091054652087,261.8028881470411,122.9403591992265
A.D. 2018-Feb-25 12:20:00.0000 UTC,260.19697509584825,259.69299102307843,300.63638076575415,62.85269577290303,274.41284404127805,255.8593063936296,260.6239659017132,268.7161458344613,68.70112689290461,262.1520618003213,100.75957991118491
A.D. 2018-Feb-26 12:20:00.0000 UTC,260.6068678275448,260.05700565234815,301.4643258057398,64.34979509549012,274.9705121208035,256.50495509051115,261.077529865118,269.1403173364315,68.92716403762122,262.50422613824503,92.18395235546915
A.D. 2018-Feb-27 12:20:00.0000 UTC,261.0325650378501,260.42475726248017,302.36125299695215,65.7556444856166,275.55093671749285,257.1364423954409,261.52903068918516,269.57208731752183,69.14907890633964,262.8592488183661,87.62747847098746
A.D. 2018-Feb-28 12:20:00.0000 UTC,261.4740957535651,260.79603536830496,303.3342129488134,67.07859466277014,276.156478624502,257.754541693614,261.9786582424837,270.01209728172694,69.36692960968139,263.21699743973323,84.66433734442022
A.D. 2018-Mar-01 12:20:00.0000 UTC,261.93145440969244,261.1706289499057,304.3911319561311,68.32616814236412,276.7898222090971,258.35998307063244,262.4266016439674,270.46104778428645,69.58077554166721,263.57734025869684,82.43481622860917
A.D. 2018-Mar-02 12:20:00.0000 UTC,262.4045840128045,261.5483269968901,305.54092304337155,69.5051371384122,277.45402959384757,258.9534575906233,262.8730473981533,270.91970412471284,69.79067658776175,263.9401466890311,80.53602803581914
A.D. 2018-Mar-03 12:20:00.0000 UTC,262.89335551169273,261.9289183882356,306.79360381968985,70.62159752704251,278.15260624481965,259.53562027743226,263.3181690605184,271.38890251110814,69.99669159928783,264.3052871337596,78.71614331751648
A.D. 2018-Mar-04 12:20:00.0000 UTC,263.39754359150874,262.3121911176796,308.1604162001215,71.68103625246181,278.88958175323717,260.10709167809546,263.7621478945212,271.8695575083097,70.19887678947512,264.6726322256097,76.74948202912653
A.D. 2018-Mar-05 12:20:00.0000 UTC,263.91680048075693,262.697931904835,309.6539472500463,72.6883935935706,279.66961123125355,260.6684594098498,264.205356248915,272.3626721532318,70.39728490494956,265.04205248377485,74.3368888129183
A.D. 2018-Mar-06 12:20:00.0000 UTC,264.4506286690052,263.08592606505454,311.2882358307932,73.64811992296939,280.49810149950144,261.22027975301546,264.6478034494663,272.86935053639314,70.59196511330656,265.4134182409656,70.92580287341197
A.D. 2018-Mar-07 12:20:00.0000 UTC,264.99835374099825,263.4759573086013,313.07884142201834,74.5642269488634,281.381367123982,261.7630791336174,265.08967997241984,273.3908123058428,70.78296322300359,265.78659948945,65.16378932335456
A.D. 2018-Mar-08 12:20:00.0000 UTC,265.5590999611925,263.8678081243452,315.0428553877782,75.44033529887464,282.3268255463824,262.29735634792183,265.5311961086692,273.9284098690067,70.97032218419692,266.1614662448856,52.49906912863626
A.D. 2018-Mar-09 12:20:00.0000 UTC,266.1317711221634,264.2612600436836,317.1988078518884,76.27971718767681,283.34324120047256,262.82358464719084,265.97254606398576,274.48364794713245,71.15408244226448,266.53788876797717,12.483015054933544
A.D. 2018-Mar-10 12:20:00.0000 UTC,266.71503184050715,264.65609356708944,319.5664087843852,77.08533406488273,284.4410326957224,263.3422133743018,266.41392127523574,275.05820578497605,71.3342820488386,266.91573743711297,308.5200141841466
A.D. 2018-Mar-11 12:20:00.0000 UTC,267.30731316731124,265.05209012030247,322.16605367064517,77.85987065564487,285.6326637882037,263.8536698202602,266.85551368056537,275.6539635079111,71.5109567703788,267.29488288813303,285.99454882125997
A.D. 2018-Mar-12 12:20:00.0000 UTC,267.90680816455955,265.4490229708871,325.0179916687825,78.6057650617067,286.9331430398745,264.358360906263,267.2975168511016,276.27303317756446,71.68414012180077,267.675196130561,277.6777675037211
A.D. 2018-Mar-13 12:20:00.0000 UTC,268.5114940513546,265.84667610484934,328.1410444961037,79.32523530697763,288.36066541876124,264.8566746915311,267.74012661965384,276.91779556301645,71.85386335264279,268.0565486332412,273.4347150035915
A.D. 2018-Mar-14 12:20:00.0000 UTC,269.11915940273343,266.24482542302667,331.5507741374118,80.02030283669474,289.93743905821435,265.3489817909234,268.1835415984021,277.59094391502134,72.0201553998273,268.4388124251809,270.8034787508883
A.D. 2018-Mar-15 12:20:00.0000 UTC,269.7274425484276,266.64324832823297,335.2570479382119,80.69281332470693,291.69075156412146,265.83563669124203,268.6279636292971,278.2955361679583,72.18304275708536,268.82186016329604,268.9380899232804
A.D. 2018-Mar-16 12:20:00.0000 UTC,270.3338785924347,267.04172204757907,339.2610747566554,81.3444553408228,293.6543422763238,266.31697911612525,269.0735982915599,279.0350576000846,72.34254921288039,269.20556526703825,267.46215309017487
A.D. 2018-Mar-17 12:20:00.0000 UTC,270.9359526710693,267.44002379930663,343.55218944015826,81.97677699270146,295.87015253326166,266.79333530795486,269.52065533284247,279.8134961680438,72.49869532683611,269.5898019806023,266.16607764888215
A.D. 2018-Mar-18 12:20:00.0000 UTC,271.5311567914826,267.8379308166226,348.10493961494814,82.59120062040391,298.39051450587584,267.26501909191535,269.96934890129893,280.6354334493028,72.65149755634945,269.9744452400276,264.8983215356105
A.D. 2018-Mar-19 12:20:00.0000 UTC,272.1170477228421,268.23522028331195,352.877294999897,83.18903578851605,301.2807817963378,267.7323327678524,270.41989766616507,281.50615545375547,72.80096707684159,270.35937042680234,263.50652950274434
A.D. 2018-Mar-20 12:20:00.0000 UTC,272.69130344449104,268.63166913035803,357.8108812137956,83.77149057938584,304.62223574463366,268.1955677513595,270.8725248419077,282.4317886794168,72.94710844047906,270.7444530004915,261.7740577962486
A.D. 2018-Mar-21 12:20:00.0000 UTC,273.2517759100305,269.02705361336785,2.8338694107407685,84.33968115827437,308.5146921491917,268.65500487531216,271.3274581175156,283.4194681524433,73.08991832443195,271.1295679800466,259.2847871703387
A.D. 2018-Mar-22 12:20:00.0000 UTC,273.79653845995136,269.42114881948663,7.86648694131536,84.89463993067251,313.0773526637153,269.1109145261472,271.78492969775147,284.4775462843332,73.22938466714697,271.51458945379267,254.9791484173494
A.D. 2018-Mar-23 12:20:00.0000 UTC,274.3239265738842,269.81372824621286,12.828243529445324,85.4373226592121,318.44476098098636,269.5635568020371,272.24517661514955,285.6158534860209,73.36548637555397,271.8993902638952,244.9474548250536
A.D. 2018-Mar-24 12:20:00.0000 UTC,274.8325709259338,270.20456352024917,17.645314690879964,85.96861485696766,324.75208081603483,270.01318180801456,272.70844132699654,286.84602400982783,73.49819360710543,272.28384191089776,203.6159604868797
A.D. 2018-Mar-25 12:20:00.0000 UTC,275.3214221038229,270.5934244106758,22.256466526730318,86.48933786463337,332.10142307701585,270.46003027291994,273.17497267465546,288.1819042064142,73.62746847077621,272.66781477610647,124.17300788211789
A.D. 2018-Mar-26 12:20:00.0000 UTC,275.7897665143076,270.9800791539801,26.616467516820048,87.00025479947452,340.5033935094677,270.9043345065545,273.64502710073316,289.64006440115213,73.75326584500628,273.05117873664653,105.03962491788492
A.D. 2018-Mar-27 12:20:00.0000 UTC,276.2372333336702,271.36429516295453,30.69679783076432,87.50207655738829,349.80487387228976,271.34631974097647,274.11887008596517,291.240440692591,73.87553390593527,273.43380350115797,98.70013806419888
A.D. 2018-Mar-28 12:20:00.0000 UTC,276.6637922294767,271.7458397684263,34.48418556480905,87.9954675042186,359.64753875245043,271.78620545484654,274.5967773441298,293.00713628827526,73.99421389981433,273.81556009969916,95.50286799596762
A.D. 2018-Mar-29 12:20:00.0000 UTC,277.0697419728751,272.124480759106,37.977848352899116,88.48105056678598,9.517998633367895,272.2242063895216,275.0790355017344,294.96941450001856,74.10923881446773,274.1963211245574,93.47893265378544
A.D. 2018-Mar-30 12:20:00.0000 UTC,277.4556906431597,272.4999867584377,41.186293099820006,88.95941166536444,18.894327325047122,272.6605332573317,275.5659424209201,297.1629124277945,74.22053088215681,274.5759604661721,91.9762586854882
A.D. 2018-Mar-31 12:20:00.0000 UTC,277.82252840860883,272.87212741860213,44.12428021628589,89.4311033534042,27.398472112079986,273.09539313271216,276.05780739533714,299.6310838227058,74.32799821816651,274.95435378301613,90.69912641575371
A.D. 2018-Apr-01 12:20:00.0000 UTC,278.1713938735292,273.24067313101284,46.810271370286976,89.89664733194546,34.85752675840212,273.52898928922,276.55495113263447,302.4268207618772,74.43153120623651,275.33137804871706,89.46764323632534
A.D. 2018-Apr-02 12:20:00.0000 UTC,278.50363570454624,273.6053944971029,49.26446946131895,90.35653622885066,41.26892740962242,273.96152080952214,277.0577058901269,305.6140753737045,74.53099914657595,275.70691105860993,88.12684025058049
A.D. 2018-Apr-03 12:20:00.0000 UTC,278.820771537878,273.96606201094386,51.507426299373435,90.8112353140878,46.728693132909726,274.3931824818237,277.56641620701,309.26903758521775,74.62624722195163,276.08083123509863,86.48323729163747
A.D. 2018-Apr-04 12:20:00.0000 UTC,279.12444556329814,274.3224458429945,53.559122075645455,91.26118420721454,51.370624522717115,274.82416488416055,278.0814399354277,313.47991874620584,74.7170934905259,276.45301754255007,84.20660108382509
A.D. 2018-Apr-05 12:20:00.0000 UTC,279.4163862458717,274.674315766909,55.43840848925566,91.70679870759868,55.33026737629242,275.25465466995945,278.6031494532872,318.3435428016687,74.80332540730764,276.8233495024537,80.56862213655945
A.D. 2018-Apr-06 12:20:00.0000 UTC,279.6983655495225,275.02144127996286,57.162714983237706,92.14847279355459,58.728683072216704,275.6848350670232,279.13193305166993,323.955770895886,74.8846953910388,277.19170735123816,73.44822533654555
A.D. 2018-Apr-07 12:20:00.0000 UTC,279.9721607208049,275.3635918253489,58.7479332791778,92.58658064747057,61.66764579451665,276.1148864691882,279.6681964068506,330.3918382681989,74.96091510199717,277.5579722638966,53.64181604013383
A.D. 2018-Apr-08 12:20:00.0000 UTC,280.23951966535975,275.70053692795454,60.20841471254374,93.02147847049312,64.23018413557371,276.544986913938,280.2123639510122,337.6738168151523,75.03164822867727,277.9220264689777,345.9849577259954
A.D. 2018-Apr-09 12:20:00.0000 UTC,280.50212839306505,276.03204629472265,61.557035567162075,93.45350611558422,66.48310193600649,276.9753124943131,280.76488024745487,345.72903518433577,75.09650150013519,278.2837533280986,302.03787936114134
A.D. 2018-Apr-10 12:20:00.0000 UTC,280.7615874553254,276.3578899243956,62.80529950420104,93.88298858179886,68.47989433600394,277.40603775359534,281.32621145685766,354.3570448034058,75.15501350888155,278.64303743642057,289.8134488400933
A.D. 2018-Apr-11 12:20:00.0000 UTC,281.0193885040504,276.6778381401,63.963455855565606,94.31023729544,70.26342081665308,277.8373359689645,281.89684676973167,3.2346663753349043,75.20664080318609,278.9997646425932,284.56195293847856
A.D. 2018-Apr-12 12:20:00.0000 UTC,281.2768972968755,276.99166179429784,65.04062302285392,94.73555144956072,71.86814259109354,278.2693795736586,282.47730010828894,11.977302377336624,75.25074017832141,279.35382224020884,281.57616254331367
A.D. 2018-Apr-13 12:20:00.0000 UTC,281.53534211824297,277.2991326183035,66.04490891658007,95.1592193930834,73.32191618087069,278.7023406613077,283.06811202606764,20.234212385230435,75.28654575621606,279.70509927610385,279.54836636355066
A.D. 2018-Apr-14 12:20:00.0000 UTC,281.79580544933856,277.6000234576803,66.98352284751057,95.58151982144292,74.64740064130966,279.1363912104897,283.66985136963183,27.764625883671826,75.313139073953,280.0534866570509,277.9669393996168
A.D. 2018-Apr-15 12:20:00.0000 UTC,282.05921964632165,277.89410856415515,67.86287893754005,96.00272294387968,75.86315212480902,279.5717029409985,284.28311691685343,34.45942106066612,75.3294093165131,280.3988772237616,276.57039543995285
A.D. 2018-Apr-16 12:20:00.0000 UTC,282.3263655721051,278.18116393881405,68.68869083201925,96.423091620323,76.98447292489355,280.0084454661469,284.90853912728505,40.31640253537874,75.3339999853486,280.7411658194506,275.1799839945574
A.D. 2018-Apr-17 12:20:00.0000 UTC,282.5978740127198,278.46096724413655,69.4660552641391,96.842881980916,78.02406932806474,280.44677103322243,285.54678155517024,45.39871049907466,75.32523786661386,281.08024889985376,273.6210259216008
A.D. 2018-Apr-18 12:20:00.0000 UTC,282.87422884471334,278.7332971677233,70.19952454095318,97.26234342815485,78.99256220857346,280.8867521596644,286.1985420338196,49.79861743466256,75.30103853871938,281.4160236616225,271.64752110529645
A.D. 2018-Apr-19 12:20:00.0000 UTC,283.1557723658085,278.99793261012843,70.8931700887158,97.68171844657695,79.89888529029326,281.3290452357713,286.86455439855774,53.61408128787893,75.25877920411814,281.74838718991435,268.78994666005184
A.D. 2018-Apr-20 12:20:00.0000 UTC,283.44271279520086,279.25465209218817,71.55063874740365,98.10124267637826,80.75059783464707,281.7733320594215,287.545591293547,56.936530369248274,75.19512381027843,282.0772360629865,263.86976222664293
A.D. 2018-Apr-21 12:20:00.0000 UTC,283.73513318120416,279.503233332621,72.17520176623877,98.52114520938237,81.55413155184,282.21989456264686,288.2424675123225,59.84594818605457,75.10577637102031,282.4024662305349,252.71164139844208
A.D. 2018-Apr-22 12:20:00.0000 UTC,284.0330012835618,279.7434532295768,72.76979869988305,98.94164930320042,82.31498771728322,282.6689335860948,288.95604368903764,62.40992281587776,74.98512187948452,282.7239732662867,212.25035013576354
A.D. 2018-Apr-23 12:20:00.0000 UTC,284.3361799878112,279.97508833420403,73.33707777475206,99.36297353501664,83.03789629584553,283.12062813463587,289.6872301776402,64.6845325853273,74.82568743150557,283.04165299075834,139.63130522975493
A.D. 2018-Apr-24 12:20:00.0000 UTC,284.6444375957849,280.1979155643331,73.87943254394602,99.78533306741815,83.72694517668506,283.5751562868633,290.43699067862343,66.71590099236589,74.61730962375944,283.3554021584103,118.3548999056114
A.D. 2018-Apr-25 12:20:00.0000 UTC,284.95745784711534,280.41171311652903,74.39903526510228,100.20894096172538,84.38568583386012,284.03269844299194,291.2063458051394,68.54185267242251,74.34580508289366,283.66511921937445,110.91786108065035
A.D. 2018-Apr-26 12:20:00.0000 UTC,285.2748489962786,280.61626109570904,74.89786543738447,100.63400900930957,85.01721936696352,284.4934381709615,291.99637596775614,70.193425583411,73.99076667196582,283.97070467062036,107.06091138811836
A.D. 2018-Apr-27 12:20:00.0000 UTC,285.59615211858613,280.8113419331316,75.37773414331637,101.06074820705194,85.6242668295286,284.9575624012637,292.8082240165723,71.69616039552538,73.52173706843402,284.2720611667454,104.54457876811338
A.D. 2018-Apr-28 12:20:00.0000 UTC,285.920848808838,280.9967406431032,75.84030450162594,101.48936897855684,86.20922683133413,285.42526140756934,293.6430980460092,73.07116145232006,72.89117951085153,284.56909352991414,102.6151701145093
A.D. 2018-Apr-29 12:20:00.0000 UTC,286.2483681995216,281.17224484566367,76.28710806181303,101.92008113845058,86.77422261517496,285.8967286312038,294.5022743721574,74.33595278426988,72.02063179346062,284.86170861667927,100.92928350522722
A.D. 2018-Apr-30 12:20:00.0000 UTC,286.57809308596717,281.33764445971036,76.71955710645473,102.3530935394212,87.3211404055064,286.3721602613769,295.387100358488,75.50516153512656,70.7709102848448,285.14981491620944,99.2792423337482
A.D. 2018-May-01 12:20:00.0000 UTC,286.9093656067525,281.49273145045044,77.13895466151051,102.78861385393608,87.85166125167251,286.8517550385021,296.2989976834916,76.59106234886738,68.87011744778032,285.43332229497366,97.49087751582148
