time,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,ceres
A.D. 2020-Jan-06 12:20:00.0000 UTC,-14.859284976285,21.195554962739116,-52.0845121489452,-19.242189411546807,-5.8615870242215475,71.21853318528265,44.74296550857611,-5.577493862264318,-8.95977636335457
A.D. 2020-Jan-07 12:20:00.0000 UTC,-14.167478058113979,21.609862090729845,-52.38118346991498,-19.86450337967073,-6.566314186037089,71.73301859294924,44.12115857359608,-6.358335089671477,-9.381419772252062
A.D. 2020-Jan-08 12:20:00.0000 UTC,-13.46319423199269,22.024142837666226,-52.67515960410892,-20.487872576077134,-7.272795365013374,72.21392532633931,43.489501072974576,-7.141357194623469,-9.803841644113229
A.D. 2020-Jan-09 12:20:00.0000 UTC,-12.74644544385681,22.438241070878234,-52.96645195657538,-21.11230413142812,-7.981003955243988,72.65856406080509,42.84841785746883,-7.92650909763974,-10.227060009132613
A.D. 2020-Jan-10 12:20:00.0000 UTC,-12.017253010225227,22.85200492469185,-53.25507260854988,-21.737805056557896,-8.690913195833057,73.06418608031096,42.19831611776638,-8.713740806226612,-10.651092097132349
A.D. 2020-Jan-11 12:20:00.0000 UTC,-11.275654794450482,23.26528755770622,-53.541034526285124,-22.36438201915005,-9.402493273723362,73.42803771047386,41.53958614185365,-9.503002384812142,-11.075954084962024
A.D. 2020-Jan-12 12:20:00.0000 UTC,-10.521709021634537,23.67794755778313,-53.824352171023726,-22.99204134356916,-10.115694849466829,73.74742871131082,40.8726021904776,-10.29424704534677,-11.501661046896194
A.D. 2020-Jan-13 12:20:00.0000 UTC,-9.755498149376168,24.089848934557267,-54.10504226877996,-23.62078912801931,-10.829682689162887,74.01981305736078,40.19772346379941,-11.087561244925192,-11.92822706939899
A.D. 2020-Jan-14 12:20:00.0000 UTC,-8.97713863391514,24.500860599185632,-54.38312451173898,-24.250631457040313,-11.547342136568762,74.24287840829523,39.51529496213438,-11.882730156405131,-12.355665586078443
A.D. 2020-Jan-15 12:20:00.0000 UTC,-8.186792798449154,24.910855108775333,-54.65862226815996,-24.881574951005636,-12.265351312971005,74.41463850025731,38.82564782374052,-12.67964660384219,-12.78399016944363
A.D. 2020-Jan-16 12:20:00.0000 UTC,-7.384681071663442,25.31970700667399,-54.93156304047123,-25.513627436396142,-12.984979126511693,74.53352097929447,38.12909922585815,-13.47839530963093,-13.213215477708346
A.D. 2020-Jan-17 12:20:00.0000 UTC,-6.571095345439435,25.727291363381507,-55.20197835168098,-26.146798319343993,-13.706165244489615,74.59844265359375,37.42595227786796,-14.278922791247744,-13.643357843996213
A.D. 2020-Jan-18 12:20:00.0000 UTC,-5.746414514992242,26.133482418922178,-55.469903592779275,-26.78109901307196,-14.428884901539474,74.6088647324024,36.71649576533698,-15.081185090531823,-14.074435809814519
A.D. 2020-Jan-19 12:20:00.0000 UTC,-4.911121961819506,26.538153062778697,-55.73537725451278,-27.416542726503263,-15.153120498021204,74.56482204604194,36.00100446815634,-15.885143512985415,-14.506469969308808
A.D. 2020-Jan-20 12:20:00.0000 UTC,-4.065825677699918,26.94117492534045,-55.99843989864951,-28.053143892539385,-15.878857461171044,74.46692305616747,35.27973989207987,-16.690762161547994,-14.939482420352036
A.D. 2020-Jan-21 12:20:00.0000 UTC,-3.2112820845873897,27.34241851170695,-56.25913349441214,-28.690917834904997,-16.606083106787477,74.31632058945029,34.55295090039357,-17.49800707615144,-15.37349640590577
A.D. 2020-Jan-22 12:20:00.0000 UTC,-2.3484237372671206,27.741753650495077,-56.51750074229691,-29.329880322050208,-17.33478596340454,74.1146565977241,33.820874525523095,-18.30684565597172,-15.808535810663866
A.D. 2020-Jan-23 12:20:00.0000 UTC,-1.4783914770988507,28.139050210381782,-56.77358437864957,-29.970047021973812,-18.06495515312382,73.8639870665112,33.08373692338026,-19.117246121257214,-16.244624529166455
A.D. 2020-Jan-24 12:20:00.0000 UTC,-0.6025719449046074,28.534178729283923,-57.02742680272006,-30.61143321101028,-18.79658008502805,73.56669464970763,32.341754127305045,-19.929177237124236,-16.68178605394465
A.D. 2020-Jan-25 12:20:00.0000 UTC,0.27735907101165935,28.927010985023653,-57.27906991896056,-31.254053650295038,-19.529650302720654,73.22539691219022,31.595132645838337,-20.742608238484557,-17.120043218670617
A.D. 2020-Jan-26 12:20:00.0000 UTC,1.1593870276480682,29.31742051138944,-57.5285551052833,-31.897922559033457,-20.26415545850815,72.84285722868664,30.844069946041344,-21.55750883272014,-17.5594180493117
A.D. 2020-Jan-27 12:20:00.0000 UTC,2.041102441944959,29.705283016653794,-57.775923272825246,-32.54305366437545,-21.000085349406024,72.42190377396108,30.08875483151707,-22.37384926993298,-17.99993171910178
A.D. 2020-Jan-28 12:20:00.0000 UTC,2.919638243635528,30.09047683325576,-58.021214809414424,-33.18946013422455,-21.737429838027236,71.96536022008496,29.32936789456082,-23.191600284309573,-18.44160441974001
A.D. 2020-Jan-29 12:20:00.0000 UTC,3.7916006645627185,30.47288303902627,-58.26446976891488,-33.83715475705864,-22.47617901551936,71.47598962259752,28.566081717827473,-24.010733266712766,-18.884455544279756
A.D. 2020-Jan-30 12:20:00.0000 UTC,4.652994899719198,30.85238553337853,-58.50572797844479,-34.4861500545833,-23.216323297476176,70.95645175783457,27.799061117549442,-24.831220362914895,-19.328503746901887
