sun,moon
287.9818831550732,109.96563973641264
287.7766788489066,103.43245339498269
287.56797634794464,96.30169574775728
287.35585181125276,88.15094334861747
287.1403804373944,78.42619824364608
286.9216367149027,66.42119666997385
286.69969475978235,51.426409212099884
286.47462867731923,33.3194788499345
286.24651299049424,13.46440109106552
286.0154231556539,354.42501826560846
285.7814362735466,338.02647271419306
285.5446318231406,324.4690881383482
285.30509202065963,313.08452062539817
285.06290160280236,303.0733199510681
284.818146878648,293.74342573866176
284.5709141108107,284.50704132471674
284.32128787330186,274.8188754541064
284.0693499159643,264.1202945073895
283.8151785694557,251.82936268812878
283.5588486463381,237.45397206856455
283.300431586964,220.93308858307728
283.0399953927769,203.08860837044043
282.7776046229195,185.53280156486804
282.51332038596223,169.71359700187475
282.24720040468185,156.16824751455096
281.9792992414144,144.68649294936037
281.70966829676826,134.77915255636506
281.4383558581967,125.95238865199197
281.16540719046935,117.78718174989879
280.8908644007918,109.93408875530635
280.6147664804314,102.08413163774333
280.33714970074084,93.93617945213887
280.0580479938528,85.16562691185455
279.7774932109151,75.3978721735526
279.49551548860245,64.20036048191837
279.21214398851265,51.13399636539238
278.9274078472984,35.94116491789702
278.64133682497754,18.900607642652098
278.35396193670033,1.0705242831820865
278.0653163246177,343.89479920761687
277.7754358720038,328.3744825703942
277.48435936181045,314.7219989619545
277.19212807961884,302.62733359125815
276.8987849675984,291.6041569359318
276.6043734053428,281.1652137028616
276.30893617551965,270.86833865475614
276.01251487831837,260.3125374048547
275.71514946174733,249.13097665516773
275.41687783941177,237.00904018477257
275.11773560343346,223.75016373768145
274.81775593081244,209.39247560334198
274.5169696640039,194.31308812306608
274.2154054082422,179.1828176262241
273.9130898522117,164.71392631140117
273.6100480368592,151.377797312741
273.30630336909877,139.309618682468
273.0018778155324,128.39357539762761
272.69679201157015,118.39034439156691
272.391065189348,109.02284128217379
272.0847153101768,100.01226136945473
271.7777593672047,91.08243565974071
271.47021382103634,81.94817738986255
271.16209512504383,72.29692701305338
270.8534206152934,61.771672438774026
270.5442097512532,49.97098455625051
270.234485052039,36.50335628429545
269.92427295918645,21.157481994586906
269.61360463849843,4.200094942339529
269.30251641781354,346.5664320223376
268.99104992593254,329.5356554087451
268.6792518974138,314.0434098550118
268.3671738794013,300.35283032411877
268.0548715364791,288.2422083855168
