pluto,sun,moon
-21.49084135114544,5.303202047223454,5.303202047223454
-21.490823418639568,5.685260384123092,5.685260384123092
-21.490881038254077,6.065682213290847,6.065682213290847
-21.491014596621664,6.444375195495261,6.444375195495261
-21.491224454196786,6.821246408424785,6.821246408424785
-21.491510944000893,7.196202394359669,7.196202394359669
-21.4918743707205,7.569149194531738,7.569149194531738
-21.492315009941755,7.939992350479999,7.939992350479999
-21.49283310730659,8.308636863672767,8.308636863672767
-21.493428877402692,8.674987115851504,8.674987115851504
-21.494102502256972,9.038946765243537,9.038946765243537
-21.49485412940305,9.400418648329225,9.400418648329225
-21.49568386964842,9.759304730749934,9.759304730749934
-21.496591794862205,10.115506157908868,10.115506157908868
-21.497577936282077,10.468923447399662,10.468923447399662
-21.498642283895226,10.819456836706793,10.819456836706793
-21.499784787303447,11.16700675645779,11.16700675645779
-21.501005358145015,11.511474359583062,11.511474359583062
-21.502303873751575,11.852762019958066,11.852762019958066
-21.50368018144832,12.190773727921474,12.190773727921474
-21.505134102862446,12.525415343925808,12.525415343925808
-21.506665437748463,12.856594706000264,12.856594706000264
-21.50827396704155,13.18422160773623,13.18422160773623
-21.509959455006133,13.50820766967905,13.50820766967905
-21.511721650425446,13.82846612574086,13.82846612574086
-21.513560286817615,14.144911546045748,14.144911546045748
-21.51547508171866,14.457459522050575,14.457459522050575
-21.517465735165874,14.766026346295062,14.766026346295062
-21.519531927623827,15.070528721965921,15.070528721965921
-21.52167331767137,15.370883532353098,15.370883532353098
-21.523889539770728,15.667007687495538,15.667007687495538
-21.5261802023645,15.958818049188245,15.958818049188245
-21.528544886425074,16.246231421470092,16.246231421470092
-21.530983144455657,16.529164585111257,16.529164585111257
-21.5334944998429,16.807534351912246,16.807534351912246
-21.53607844639854,17.081257616324816,17.081257616324816
-21.5387344478998,17.350251386274593,17.350251386274593
-21.541461937437703,17.61443278132385,17.61443278132385
-21.54426031641396,17.8737189950247,17.8737189950247
-21.547128953104565,18.12802723095988,18.12802723095988
-21.55006718085648,18.377274639418104,18.377274639418104
-21.55307429621282,18.621378301378915,18.621378301378915
-21.556149557528684,18.86025531977914,18.86025531977914
-21.559292184817576,19.093823071037438,19.093823071037438
-21.56250136147766,19.321999632093043,19.321999632093043
-21.56577623808823,19.54470433699858,19.54470433699858
-21.56911593778289,19.7618583622501,19.7618583622501
-21.572519562161084,19.973385225610524,19.973385225610524
-21.575986196607886,20.179211118541083,20.179211118541083
-21.5795149142578,20.379265053290368,20.379265053290368
-21.583104778380736,20.573478856838722,20.573478856838722
-21.586754843386434,20.761787065946557,20.761787065946557
-21.590464154815855,20.944126773542987,20.944126773542987
-21.59423174866788,21.120437460748462,21.120437460748462
-21.59805665030965,21.2906608332973,21.2906608332973
-21.601937873130858,21.45474067161726,21.45474067161726
-21.605874417057848,21.612622700265558,21.612622700265558
-21.609865267038156,21.764254482035085,21.764254482035085
-21.6139093916124,21.909585341904588,21.909585341904588
-21.61800574168405,22.048566324349363,22.048566324349363
-21.622153249565102,22.181150184161925,22.181150184161925
-21.62635082832297,22.307291406782902,22.307291406782902
-21.630597371392497,22.426946250508532,22.426946250508532
-21.634891752361543,22.540072800639624,22.540072800639624
-21.63923282479932,22.646631024959298,22.646631024959298
-21.643619421978617,22.746582820815576,22.746582820815576
-21.6480503563534,22.83989204659032,22.83989204659032
-21.652524418705863,22.926524534941944,22.926524534941944
-21.657040376994644,23.006448092752656,23.006448092752656
-21.66159697513888,23.07963250364365,23.07963250364365
-21.666192932244414,23.146049561168013,23.146049561168013
-21.670826943016124,23.205673167914693,23.205673167914693
-21.67549768010005,23.258479527639945,23.258479527639945
-21.680203798662173,23.30444742787788,23.30444742787788
-21.684943942689877,23.343558568203214,23.343558568203214
-21.68971675172063,23.3757978596233,23.3757978596233
-21.69452086649853,23.401153626010597,23.401153626010597
-21.699354932576778,23.419617676386952,23.419617676386952
-21.70421760173351,23.431185261416555,23.431185261416555
-21.70910753171886,23.435854954010612,23.435854954010612
-21.714023385065225,23.43362849662232,23.43362849662232
-21.71896382756697,23.42451064596345,23.42451064596345
-21.72392752678748,23.408509031182476,23.408509031182476
-21.728913150735533,23.385634030648106,23.385634030648106
-21.73391936672605,23.355898666740583,23.355898666740583
-21.73894484039253,23.319318516215,23.319318516215
-21.743988234823657,23.275911633866414,23.275911633866414
-21.749048209818433,23.225698487986467,23.225698487986467
-21.754123421273665,23.168701906711476,23.168701906711476
-21.759212520123395,23.10494703447678,23.10494703447678
-21.76431415439773,23.03446129767595,23.03446129767595
-21.769426965478683,22.95727437860417,22.95727437860417
-21.77454959031051,22.873418197106215,22.873418197106215
-21.779680660640615,22.782926900280017,22.782926900280017
-21.784818802728264,22.685836861992232,22.685836861992232
-21.78996263688076,22.582186695481997,22.582186695481997
-21.795110776848702,22.472017283072734,22.472017283072734
-21.800261829265605,22.35537182558083,22.35537182558083
-21.80541439353077,22.232295908739882,22.232295908739882
-21.81056706273981,22.10283757397139,22.10283757397139
-21.815718426301547,21.96704736856221,21.96704736856221
-21.820867074542765,21.824978343016305,21.824978343016305
-21.826011604856635,21.67668597029549,21.67668597029549
-21.83115062812695,21.522227985144358,21.522227985144358
-21.83628277384609,21.361664170096322,21.361664170096322
-21.84140669284755,21.195056129867684,21.195056129867684
-21.846521057561016,21.022467089499003,21.022467089499003
-21.851624560508323,20.843961732121798,20.843961732121798
-21.85671591201374,20.659606074005136,20.659606074005136
-21.86179383789561,20.469467365496218,20.469467365496218
-21.8668570775392,20.27361400600374,20.27361400600374
-21.871904382445983,20.072115465040955,20.072115465040955
-21.876934515184075,19.86504220596217,19.86504220596217
-21.88194624860677,19.652465612645415,19.652465612645415
-21.88693836521597,19.434457921516195,19.434457921516195
-21.891909656587615,19.211092162038263,19.211092162038263
-21.896858922821227,18.982442108422543,18.982442108422543
-21.90178497201189,18.748582244240026,18.748582244240026
-21.906686619762958,18.509587740446378,18.509587740446378
-21.911562688757453,18.265534446735675,18.265534446735675
-21.916412008391664,18.016498896680492,18.016498896680492
-21.921233414455333,17.762558329062866,17.762558329062866
-21.926025748831623,17.503790730928813,17.503790730928813
-21.930787859204813,17.240274911291383,17.240274911291383
-21.935518598815168,16.97209061623146,16.97209061623146
-21.940216826401503,16.699318693331012,16.699318693331012
-21.94488140660968,16.422041301882075,16.422041301882075
-21.94951121127597,16.140342142071916,16.140342142071916
-21.954105122009658,15.854306644283232,15.854306644283232
-21.95866203426093,15.564022033836524,15.564022033836524
-21.9631808625097,15.269577192780336,15.269577192780336
-21.96766054554743,14.971062296453795,14.971062296453795
-21.97210005049041,14.668568290658188,14.668568290658188
-21.976498374512413,14.362186341386522,14.362186341386522
-21.980854544166714,14.052007387506983,14.052007387506983
-21.985167613002552,13.738121864514493,13.738121864514493
-21.989436658508655,13.420619592895035,13.420619592895035
-21.993660779226023,13.099589779414615,13.099589779414615
-21.99783909246224,12.77512107188798,12.77512107188798
-22.001970732679872,12.447301622802625,12.447301622802625
-22.006054850428306,12.116219137578444,12.116219137578444
-22.010090611620775,11.781960899986483,11.781960899986483
-22.01407719697291,11.444613778091629,11.444613778091629
-22.018013801466424,11.104264220029636,11.104264220029636
-22.02189963375973,10.760998251404738,10.760998251404738
-22.02573391552225,10.414901486024803,10.414901486024803
-22.029515880715607,10.066059159671077,10.066059159671077
-22.03324477487492,9.71455619322062,9.71455619322062
-22.036919854456542,9.360477287714302,9.360477287714302
-22.040540386314056,9.003907051270126,9.003907051270126
-22.044105647348445,8.644930157290569,8.644930157290569
-22.04761492436615,8.28363153547877,8.28363153547877
-22.051067514186602,7.920096600438858,7.920096600438858
-22.054462724079674,7.554411523879593,7.554411523879593
-22.05779987267706,7.186663550916619,7.186663550916619
-22.061078291557493,6.8169413438256,6.8169413438256
-22.06429732769696,6.445335306584179,6.445335306584179
-22.067456346821935,6.0719378089843525,6.0719378089843525
-22.070554737373588,5.696843211714259,5.696843211714259
-22.07359191437671,5.320147620808125,5.320147620808125
-22.07656732226077,4.9419483795205075,4.9419483795205075
-22.079480435853828,4.562343404923529,4.562343404923529
-22.08233075936158,4.1814305347113745,4.1814305347113745
-22.085117823825936,3.799307029283111,3.799307029283111
-22.087841183930802,3.4160692948134668,3.4160692948134668
-22.090500414960058,3.0318128089515257,3.0318128089515257
-22.093095110378954,2.6466321824952477,2.6466321824952477
-22.095624880155455,2.2606212832494577,2.2606212832494577
-22.098089349704914,1.8738733656341902,1.8738733656341902
-22.100488159245938,1.4864811733916434,1.4864811733916434
-22.102820963352748,1.0985370030318864,1.0985370030318864
-22.105087430531253,0.7101327300663103,0.7101327300663103
-22.107287242701393,0.32135980973984807,0.32135980973984807
-22.109420094528534,-0.06769072955793708,-0.06769072955793708
-22.111485692608642,-0.4569282781815412,-0.4569282781815412
-22.113483754572133,-0.8462625997624525,-0.8462625997624525
-22.115414008221617,-1.2356037086380116,-1.2356037086380116
-22.117276190849708,-1.6248617401080139,-1.6248617401080139
-22.11907004888027,-2.013946759469775,-2.013946759469775
-22.120795337941935,-2.402768325960202,-2.402768325960202
-22.12245182342937,-2.7912352082527865,-2.7912352082527865
-22.12403928156081,-3.1792550792047813,-3.1792550792047813
-22.125557500913157,-3.5667341219625674,-3.5667341219625674
-22.127006284407532,-3.953576679298583,-3.953576679298583
-22.12838545169718,-4.339684934050398,-4.339684934050398
-22.129694841830986,-4.72495867282889,-4.72495867282889
-22.13093431589717,-5.109295201938477,-5.109295201938477
-22.13210375910199,-5.492589457343439,-5.492589457343439
-22.133203081530354,-5.874734339279831,-5.874734339279831
-22.13423221749761,-6.255621237134003,-6.255621237134003
-22.13519113103986,-6.635140648154803,-6.635140648154803
-22.136079856801015,-7.013182764696929,-7.013182764696929
-22.136898474574302,-7.389637926221918,-7.389637926221918
-22.137646948747168,-7.7643968892416355,-7.7643968892416355
-22.138325281919755,-8.137350927959092,-8.137350927959092
-22.13893354667818,-8.508391815509071,-8.508391815509071
-22.13947183136675,-8.87741174523834,-8.87741174523834
-22.139940232828415,-9.24430324223967,-9.24430324223967
-22.14033885831816,-9.608959098902496,-9.608959098902496
-22.140667826681252,-9.971272351971718,-9.971272351971718
-22.140927268641764,-10.331136304905668,-10.331136304905668
-22.141117326543355,-10.688444587599692,-10.688444587599692
-22.14123815371211,-11.043091234533163,-11.043091234533163
-22.141289913563114,-11.394970752026202,-11.394970752026202
-22.141272778611004,-11.743978137718718,-11.743978137718718
-22.141186929612342,-12.090008814954079,-12.090008814954079
-22.14103255511142,-12.432958455877811,-12.432958455877811
-22.14080985163979,-12.772722690429761,-12.772722690429761
-22.140519024711566,-13.109196727962523,-13.109196727962523
-22.14016029058825,-13.442274942436455,-13.442274942436455
-22.139733878624813,-13.771850480669679,-13.771850480669679
-22.139240033915662,-14.09781494408434,-14.09781494408434
-22.138679019955813,-14.420058175584169,-14.420058175584169
-22.138051121084445,-14.738468165925337,-14.738468165925337
-22.137356644532776,-15.052931084848442,-15.052931084848442
-22.136595921920865,-15.363331439514633,-15.363331439514633
-22.135769310053096,-15.6695523588363,-15.6695523588363
-22.134877190890656,-15.971475990254827,-15.971475990254827
