Time,ra,dec,distance
A.D. 2020-Apr-08 00:00:00.0000 UTC,23.747965702521142,-4.3572881045118015,1.1135766737436101
A.D. 2020-Apr-09 00:00:00.0000 UTC,23.84094620075795,-3.7724588482558588,1.1264826830093884
A.D. 2020-Apr-10 00:00:00.0000 UTC,23.9352649870827,-3.168660661643434,1.1392203337035396
A.D. 2020-Apr-11 00:00:00.0000 UTC,0.030926287370436765,-2.5463074737506894,1.1517785275124515
A.D. 2020-Apr-12 00:00:00.0000 UTC,0.12794110527719124,-1.9058208199753572,1.164144577890378
A.D. 2020-Apr-13 00:00:00.0000 UTC,0.22632698655442648,-1.2476339394269862,1.176304020595825
A.D. 2020-Apr-14 00:00:00.0000 UTC,0.3261078131953935,-0.5721961562346805,1.1882404023720965
A.D. 2020-Apr-15 00:00:00.0000 UTC,0.4273135936308171,0.12002221868411225,1.1999350452153088
A.D. 2020-Apr-16 00:00:00.0000 UTC,0.5299802200760755,0.8285242484921453,1.2113667880788783
A.D. 2020-Apr-17 00:00:00.0000 UTC,0.6341491705050785,1.5527798206402796,1.2225117102212726
A.D. 2020-Apr-18 00:00:00.0000 UTC,0.7398671361425745,2.2922180497791254,1.2333428414107306
A.D. 2020-Apr-19 00:00:00.0000 UTC,0.8471855549931141,3.0462185181630987,1.2438298649318311
A.D. 2020-Apr-20 00:00:00.0000 UTC,0.9561600287397913,3.814101250117776,1.253938820538616
A.D. 2020-Apr-21 00:00:00.0000 UTC,1.0668495956089812,4.59511532894187,1.2636318165198588
A.D. 2020-Apr-22 00:00:00.0000 UTC,1.1793158264932542,5.388426085653536,1.2728667630102983
A.D. 2020-Apr-23 00:00:00.0000 UTC,1.29362170650495,6.193100827548681,1.2815971426222337
A.D. 2020-Apr-24 00:00:00.0000 UTC,1.4098302599608683,7.008093138752821,1.2897718393649507
A.D. 2020-Apr-25 00:00:00.0000 UTC,1.5280028745421883,7.8322258835227405,1.2973350525464706
A.D. 2020-Apr-26 00:00:00.0000 UTC,1.6481972813438743,8.66417318496234,1.3042263286400209
A.D. 2020-Apr-27 00:00:00.0000 UTC,1.7704651533876978,9.502441845028653,1.3103807504081317
A.D. 2020-Apr-28 00:00:00.0000 UTC,1.8948492978656513,10.345352920714666,1.3157293280215718
A.D. 2020-Apr-29 00:00:00.0000 UTC,2.021380438939162,11.191024473583973,1.320199640186261
A.D. 2020-Apr-30 00:00:00.0000 UTC,2.150073620116045,12.037356851417325,1.3237167726692924
A.D. 2020-May-01 00:00:00.0000 UTC,2.280924299000483,12.882022211221614,1.3262045950261228
A.D. 2020-May-02 00:00:00.0000 UTC,2.4139042618447215,13.7224603009213,1.3275874016414748
A.D. 2020-May-03 00:00:00.0000 UTC,2.548957547494073,14.555882709057078,1.3277919187091924
A.D. 2020-May-04 00:00:00.0000 UTC,2.6859966333617495,15.379287776893456,1.3267496440186168
A.D. 2020-May-05 00:00:00.0000 UTC,2.824899190120522,16.189488053200616,1.3243994429879022
A.D. 2020-May-06 00:00:00.0000 UTC,2.96550574494742,16.983151491481866,1.3206902764841912
A.D. 2020-May-07 00:00:00.0000 UTC,3.1076185932374023,17.75685653013397,1.3155838901799413
A.D. 2020-May-08 00:00:00.0000 UTC,3.2510022546445487,18.507159820035106,1.3090572596414822
A.D. 2020-May-09 00:00:00.0000 UTC,3.3953856726631066,19.230673812445605,1.301104568865145
A.D. 2020-May-10 00:00:00.0000 UTC,3.5404662065085897,19.92414991079783,1.2917385112131636
A.D. 2020-May-11 00:00:00.0000 UTC,3.685915273661998,20.58456170676711,1.2809907466950607
A.D. 2020-May-12 00:00:00.0000 UTC,3.831385303674319,21.209182264139717,1.2689114273455222
A.D. 2020-May-13 00:00:00.0000 UTC,3.9765175016465966,21.795649696482403,1.2555678020450496
A.D. 2020-May-14 00:00:00.0000 UTC,4.120949829858999,22.34201642649523,1.241042014426828
A.D. 2020-May-15 00:00:00.0000 UTC,4.264324615351421,22.846779313388915,1.2254282918265673
A.D. 2020-May-16 00:00:00.0000 UTC,4.406295273960162,23.30888992944453,1.2088297742134524
A.D. 2020-May-17 00:00:00.0000 UTC,4.546531783592054,23.72774625893368,1.1913552436064556
A.D. 2020-May-18 00:00:00.0000 UTC,4.684724708747116,24.103168657140152,1.1731159900235912
A.D. 2020-May-19 00:00:00.0000 UTC,4.820587742482982,24.43536386339007,1.154222999780155
A.D. 2020-May-20 00:00:00.0000 UTC,4.9538588669974954,24.724881185272,1.1347845891356723
A.D. 2020-May-21 00:00:00.0000 UTC,5.084300326978646,24.972564761340294,1.1149045432432643
A.D. 2020-May-22 00:00:00.0000 UTC,5.211697658961445,25.17950523403773,1.0946807661292868
A.D. 2020-May-23 00:00:00.0000 UTC,5.335858031197666,25.346993402775787,1.0742044068907992
A.D. 2020-May-24 00:00:00.0000 UTC,5.456608132143117,25.47647763147574,1.0535594015313359
A.D. 2020-May-25 00:00:00.0000 UTC,5.5737918124879435,25.569526061181456,1.032822357342383
A.D. 2020-May-26 00:00:00.0000 UTC,5.687267645231983,25.627794084968478,1.0120627045794337
A.D. 2020-May-27 00:00:00.0000 UTC,5.796906527856541,25.652997098784823,0.9913430451073628
A.D. 2020-May-28 00:00:00.0000 UTC,5.902589414871909,25.6468882409096,0.9707196366914856
A.D. 2020-May-29 00:00:00.0000 UTC,6.0042052403021335,25.61124065245005,0.9502429622447687
A.D. 2020-May-30 00:00:00.0000 UTC,6.101649068319464,25.547833703570006,0.9299583438616823
A.D. 2020-May-31 00:00:00.0000 UTC,6.194820494926856,25.458442606976718,0.9099065708398777
A.D. 2020-Jun-01 00:00:00.0000 UTC,6.283622311982252,25.344830858011434,0.8901245187473715
A.D. 2020-Jun-02 00:00:00.0000 UTC,6.36795943465244,25.208744982079065,0.870645743171206
A.D. 2020-Jun-03 00:00:00.0000 UTC,6.447738083835577,25.051911125027665,0.8515010376925558
A.D. 2020-Jun-04 00:00:00.0000 UTC,6.522865208480957,24.876033086148453,0.8327189514261601
A.D. 2020-Jun-05 00:00:00.0000 UTC,6.593248134181618,24.682791464574258,0.8143262670175914
A.D. 2020-Jun-06 00:00:00.0000 UTC,6.658794438331946,24.47384366282148,0.7963484441873021
A.D. 2020-Jun-07 00:00:00.0000 UTC,6.719412076724951,24.250824555451004,0.7788100352244705
A.D. 2020-Jun-08 00:00:00.0000 UTC,6.775009811922847,24.01534767503887,0.7617350767587051
A.D. 2020-Jun-09 00:00:00.0000 UTC,6.825498008329176,23.76900678862244,0.7451474580388147
A.D. 2020-Jun-10 00:00:00.0000 UTC,6.870789857863723,23.513377743393264,0.7290712622049474
A.D. 2020-Jun-11 00:00:00.0000 UTC,6.910803088153645,23.250020463429802,0.7135310752412661
A.D. 2020-Jun-12 00:00:00.0000 UTC,6.945462190370201,22.980480987823633,0.6985522573849805
A.D. 2020-Jun-13 00:00:00.0000 UTC,6.974701191006624,22.706293454542728,0.6841611726856669
A.D. 2020-Jun-14 00:00:00.0000 UTC,6.998466980547198,22.428981949586454,0.6703853731456021
A.D. 2020-Jun-15 00:00:00.0000 UTC,7.01672319861586,22.15006215209251,0.6572537340307937
A.D. 2020-Jun-16 00:00:00.0000 UTC,7.029454656203899,21.871042710097903,0.6447965366092999
A.D. 2020-Jun-17 00:00:00.0000 UTC,7.0366722485818585,21.59342627688835,0.6330454940503701
A.D. 2020-Jun-18 00:00:00.0000 UTC,7.038418276619927,21.318710123276656,0.6220337157976944
A.D. 2020-Jun-19 00:00:00.0000 UTC,7.034772049890036,21.048386216083927,0.6117956056101295
A.D. 2020-Jun-20 00:00:00.0000 UTC,7.025855593569272,20.783940617101635,0.602366688759317
A.D. 2020-Jun-21 00:00:00.0000 UTC,7.011839225278263,20.526852010798443,0.5937833646581108
A.D. 2020-Jun-22 00:00:00.0000 UTC,6.992946711185187,20.278589116237573,0.5860825825781261
