name_id,date,time,correct,displaced,bracketed,body_bracket,first_condition,degree,degree_type,energy,conditionbody
3,2018-11-09,10:22:00,1%,0%,YES,Jupiter,Jupiter,4,Seperating,Negative,Moon
3,2018-11-09,10:22:00,1%,0%,YES,Jupiter,Mercury,4,Applying,Positive,Moon
3,2019-01-31,09:00:00,0%,1%,YES,Jupiter,Venus,6,Applying,Positive,Moon
3,2019-02-08,08:00:00,1%,0%,YES,Neptune,Neptune,8,Seperating,Positive,Moon
3,2019-02-08,08:00:00,1%,0%,YES,Neptune,Chiron,5,Applying,Positive,Moon
3,2019-02-27,08:50:00,0.7%,0.3%,YES,Ceres,Ceres,6,Seperating,Negative,Moon
3,2019-02-27,08:50:00,0.7%,0.3%,YES,Ceres,Jupiter,6,Applying,Positive,Moon
3,2019-04-04,08:45:00,0%,1%,YES,Mercury,Mercury,10,Seperating,Negative,Moon
3,2019-04-05,08:40:00,0.5833333333333334%,0.4166666666666667%,YES,Chiron,Chiron,9,Seperating,Negative,Moon
3,2019-04-06,09:22:00,0%,1%,YES,Sun,Sun,8,Seperating,Positive,Moon
3,2019-04-06,09:22:00,0%,1%,YES,Sun,Uranus,6,Applying,Positive,Moon
2,2019-04-23,10:20:00,0%,1%,YES,Ceres,Ceres,6,Seperating,Negative,Moon
2,2019-05-02,11:55:00,1%,0%,YES,Chiron,Chiron,5,Seperating,Negative,Moon
2,2019-05-02,11:55:00,1%,0%,YES,Chiron,Venus,4,Applying,Positive,Moon
2,2019-05-03,11:55:00,0%,1%,YES,Venus,Venus,7,Applying,Negative,Moon
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Uranus,Mercury,9,Seperating,Negative,Moon
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Uranus,Sun,8,Applying,Positive,Moon
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Mercury,Mercury,9,Seperating,Negative,Moon
2,2019-05-04,11:40:00,0.375%,0.625%,YES,Mercury,Sun,8,Applying,Positive,Moon
2,2019-06-04,13:00:00,1%,0%,YES,Sun,Sun,10,Seperating,Negative,Moon
2,2019-06-04,13:00:00,1%,0%,YES,Sun,Mercury,4,Applying,Positive,Moon
2,2019-06-05,15:40:00,0.75%,0.25%,YES,Mercury,Mercury,9,Seperating,Negative,Moon
2,2019-07-02,14:00:00,0%,1%,YES,Venus,Venus,5,Seperating,Negative,Moon
2,2019-07-02,14:00:00,0%,1%,YES,Venus,Sun,6,Applying,Positive,Moon
1,2019-05-02,10:35:00,0.3333333333333333%,0.6666666666666666%,YES,Chiron,Chiron,8,Seperating,Negative,Moon
1,2019-05-02,10:35:00,0.3333333333333333%,0.6666666666666666%,YES,Chiron,Venus,4,Applying,Positive,Moon
1,2019-05-03,10:35:00,0%,1%,YES,Venus,Venus,5,Seperating,Negative,Moon
1,2019-06-04,09:20:00,0.5833333333333334%,0.4166666666666667%,YES,Sun,Sun,9,Applying,Positive,Moon
1,2019-06-04,09:20:00,0.5833333333333334%,0.4166666666666667%,YES,Sun,Mercury,6,Applying,Positive,Moon
1,2019-06-05,14:00:00,0.6666666666666666%,0.3333333333333333%,YES,Mercury,Mercury,8,Seperating,Positive,Moon
1,2019-07-02,12:00:00,0.8125%,0.1875%,YES,Venus,Venus,4,Seperating,Negative,Moon
1,2019-07-02,12:00:00,0.8125%,0.1875%,YES,Venus,Sun,7,Applying,Positive,Moon
3,2019-05-03,08:45:00,0.4166666666666667%,0.5833333333333334%,YES,Venus,Venus,5,Seperating,Negative,Moon
3,2019-04-23,08:30:00,0%,1%,YES,Ceres,Ceres,5,Seperating,Negative,Moon
3,2019-04-23,08:30:00,0%,1%,YES,Ceres,Jupiter,4,Applying,Positive,Moon
3,2019-05-01,09:36:00,1%,0%,YES,Neptune,Neptune,8,Seperating,Negative,Moon
3,2019-05-01,09:36:00,1%,0%,YES,Neptune,Chiron,7,Applying,Positive,Moon
3,2019-05-02,08:45:00,0.125%,0.875%,YES,Chiron,Chiron,4,Seperating,Negative,Moon
3,2019-05-02,08:45:00,0.125%,0.875%,YES,Chiron,Venus,5,Applying,Positive,Moon
3,2019-05-04,08:25:00,1%,0%,YES,Uranus,Sun,10,Applying,Positive,Moon
3,2019-06-04,09:20:00,0.6666666666666666%,0.3333333333333333%,YES,Sun,Sun,9,Seperating,Negative,Moon
3,2019-06-04,09:20:00,0.6666666666666666%,0.3333333333333333%,YES,Sun,Mercury,6,Applying,Positive,Moon
3,2019-06-05,14:00:00,0.8333333333333334%,0.16666666666666666%,YES,Mercury,Mercury,8,Seperating,Negative,Moon
3,2019-07-02,12:00:00,0%,1%,YES,Venus,Venus,4,Seperating,Negative,Moon
3,2019-07-02,12:00:00,0%,1%,YES,Venus,Sun,7,Applying,Positive,Moon
4,2019-04-23,09:25:00,0.75%,0.25%,YES,Ceres,Ceres,5,Seperating,Negative,Moon
4,2019-04-23,09:25:00,0.75%,0.25%,YES,Ceres,Jupiter,4,Applying,Positive,Moon
4,2019-05-02,10:00:00,0.25%,0.75%,YES,Chiron,Chiron,4,Seperating,Negative,Moon
4,2019-05-02,10:00:00,0.25%,0.75%,YES,Chiron,Venus,4,Applying,Positive,Moon
4,2019-05-01,10:10:00,0%,1%,YES,Neptune,Neptune,8,Seperating,Negative,Moon
4,2019-05-01,10:10:00,0%,1%,YES,Neptune,Chiron,7,Applying,Positive,Moon
4,2019-05-03,11:15:00,0.16666666666666666%,0.8333333333333334%,YES,Venus,Venus,6,Seperating,Negative,Moon
4,2019-06-01,12:25:00,0.8333333333333334%,0.16666666666666666%,YES,Uranus,Uranus,9,Seperating,Negative,Moon
4,2019-06-01,12:25:00,0.8333333333333334%,0.16666666666666666%,YES,Uranus,Venus,6,Applying,Positive,Moon
4,2019-06-04,13:00:00,1%,0%,YES,Sun,Sun,10,Applying,Negative,Moon
4,2019-06-04,13:00:00,1%,0%,YES,Sun,Mercury,4,Applying,Positive,Moon
4,2019-06-05,15:40:00,0.875%,0.125%,YES,Mercury,Mercury,9,Seperating,Negative,Moon
4,2019-06-25,10:00:00,0.6666666666666666%,0.3333333333333333%,YES,Neptune,Neptune,10,Seperating,Negative,Moon
4,2019-06-25,10:00:00,0.6666666666666666%,0.3333333333333333%,YES,Neptune,Chiron,5,Applying,Positive,Moon
4,2019-07-02,14:00:00,0%,1%,YES,Venus,Venus,5,Seperating,Negative,Moon
4,2019-07-02,14:00:00,0%,1%,YES,Venus,Sun,6,Applying,Positive,Moon
4,2019-05-04,10:45:00,0%,1%,YES,Uranus,Mercury,9,Seperating,Negative,Moon
4,2019-05-04,10:45:00,0%,1%,YES,Uranus,Sun,8,Applying,Positive,Moon
4,2019-05-04,10:45:00,0%,1%,YES,Mercury,Mercury,9,Seperating,Negative,Moon
4,2019-05-04,10:45:00,0%,1%,YES,Mercury,Sun,8,Applying,Positive,Moon
2,2019-08-09,11:35:00,0.7%,1.3%,YES,Ceres,Jupiter,9,Applying,Positive,Moon
2,2019-08-30,10:10:00,0.875%,0.125%,YES,Mercury,Venus,8,Applying,Positive,Moon
2,2019-08-30,10:10:00,0.875%,0.125%,YES,Mercury,Mars,4,Applying,Positive,Moon
2,2019-09-09,08:15:00,0.7083333333333334%,0.2916666666666667%,YES,Saturn,Saturn,6,Seperating,Negative,Moon
3,2019-08-09,14:05:00,0.9%,0.1%,YES,Ceres,Ceres,4,Seperating,Negative,Moon
3,2019-08-09,14:05:00,0.9%,0.1%,YES,Ceres,Jupiter,8,Applying,Positive,Moon
3,2019-08-30,11:55:00,0%,1%,YES,Mercury,Venus,6,Applying,Positive,Moon
3,2019-09-06,12:55:00,0.14285714285714285%,0.8571428571428571%,YES,Ceres,Ceres,8,Seperating,Negative,Moon
3,2019-09-09,08:15:00,1%,0%,YES,Saturn,Saturn,6,Seperating,Negative,Moon
